fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
DP MIXTO RV FI*DP MIXTO RV FI*2019*2019-01-01*2019-12-31*5 en una escala del 1 al 7.*0.0*-0.33999999999999997**962371.435*183.0*0.0*10886820.0*False*10.9771*1.09**1.09*0.1****False*Y*2019
DP MIXTO RV FI*DP MIXTO RV FI*2019 T2*2019-01-01*2019-06-30*5 en una escala del 1 al 7.*0.0*-0.33999999999999997**1119491.99*191.0*0.0*9737650.0*False*10.4373*0.27**0.27*0.030000000000000002****False*T*2019
DP MIXTO RV FI*DP MIXTO RV FI*2019 T4*2019-07-01*2019-12-31*5 en una escala del 1 al 7.*0.0*-0.34**1046156.33*201.0*0.0*10886820.0*False*10.9771*0.27**0.27*0.020000000000000004****False*T*2019
DP MIXTO RV FI*DP MIXTO RV FI*2020*2020-01-01*2020-12-31*5 en una escala del 1 al 7.*0.675*-0.235**750738.7749999999*166.0*0.0*8043260.0*False*11.4416*1.1**1.1*0.1****False*Y*2020
DP MIXTO RV FI*DP MIXTO RV FI*2020 T2*2020-01-01*2020-06-30*5 en una escala del 1 al 7.*1.18*-0.36**638523.95*162.0*0.0*8274082.0*False*10.3621*0.28**0.28*0.030000000000000002****False*T*2020
DP MIXTO RV FI*DP MIXTO RV FI*2020 T4*2020-07-01*2020-12-31*5 en una escala del 1 al 7.*1.04*-0.57**754691.97*166.0*0.0*8043260.0*False*11.4416*0.27**0.27*0.020000000000000004****False*T*2020
