fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
PENTA INVERSION, FI*PENTA INVERSION CLASE A, FI*2014 T4*2014-07-01*2014-12-31*3, de una escala del 1 al 7*2.2699999999999996*0.05**1810467.6816330003*66.0*0.0*18515752.0*False*10.9383*0.21*0.0*0.21*0.030000000000000002****True*T*2014
PENTA INVERSION, FI*PENTA INVERSION CLASE A, FI*2015*2015-01-01*2015-12-31*3, de una escala del 1 al 7*1.0499999999999998*0.04**1478115.6982105002*59.0*0.0*15119917.0*False*10.7783*0.8*-0.01*0.79*0.1****True*Y*2015
PENTA INVERSION, FI*PENTA INVERSION CLASE A, FI*2015 T2*2015-01-01*2015-06-30*3, de una escala del 1 al 7*1.6399999999999997*0.03**1542491.7555220001*57.0*0.0*17199193.0*False*11.0719*0.2*-0.01*0.18999999999999997*0.030000000000000002****True*T*2015
PENTA INVERSION, FI*PENTA INVERSION CLASE A, FI*2015 T4*2015-07-01*2015-12-31*3, de una escala del 1 al 7*1.67*0.07**1403540.488909*58.0*0.0*15119917.0*False*10.7783*0.2*-0.01*0.19*0.020000000000000004****True*T*2015
PENTA INVERSION, FI*PENTA INVERSION CLASE B, FI*2015*2015-01-01*2015-12-31*3, de una escala del 1 al 7*1.0499999999999998*0.04**1341731.2478*1044.5*0.0*13912291.0*False*10.7112*1.3*0.0*1.3*0.1****True*Y*2015
PENTA INVERSION, FI*PENTA INVERSION CLASE B, FI*2015 T2*2015-01-01*2015-06-30*3, de una escala del 1 al 7*1.6399999999999997*0.03**1744600.5416919999*1282.0*0.0*15275288.0*False*11.0322*0.32*0.0*0.32*0.030000000000000002****True*T*2015
PENTA INVERSION, FI*PENTA INVERSION CLASE B, FI*2015 T4*2015-07-01*2015-12-31*3, de una escala del 1 al 7*1.67*0.07**1042936.9217570003*993.0*0.0*13912291.0*False*10.7112*0.34*0.0*0.34*0.030000000000000002****True*T*2015
PENTA INVERSION, FI*PENTA INVERSION CLASE A, FI*2016 T2*2016-01-01*2016-06-30*3, de una escala del 1 al 7*1.9099999999999997*0.25**728428.035939*46.0*0.0*8770207.0*False*10.6032*0.2*0.0*0.2*0.020000000000000004****True*T*2016
PENTA INVERSION, FI*PENTA INVERSION CLASE B, FI*2016 T2*2016-01-01*2016-06-30*3, de una escala del 1 al 7*1.9099999999999997*0.25**153677.845393*71.0*0.0*1672473.0*False*10.511*0.33*0.0*0.33*0.020000000000000004****True*T*2016
PENTA INVERSION, FI*PENTA INVERSION CLASE A, FI*2017*2017-01-01*2017-12-31*3, de una escala del 1 al 7*0.635*0.345**715782.1039410001*46.5*0.0*7509311.0*False*11.2496*0.81*0.05000000000000002*0.8600000000000001*0.1****True*Y*2017
PENTA INVERSION, FI*PENTA INVERSION CLASE A, FI*2017 T2*2017-01-01*2017-06-30*3, de una escala del 1 al 7*0.92*0.47000000000000003**719222.4207949998*46.0*0.0*8665851.0*False*11.342*0.2*-0.009999999999999981*0.19000000000000006*0.030000000000000002****True*T*2017
PENTA INVERSION, FI*PENTA INVERSION CLASE A, FI*2017 T4*2017-07-01*2017-12-31*3, de una escala del 1 al 7*1.07*0.25999999999999995**572172.8523960001*45.0*0.0*7509311.0*False*11.2496*0.19999999999999998*-0.01999999999999999*0.18*0.020000000000000004****True*T*2017
