fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
IMANTIA FUTURO, FI*IMANTIA FLEXIBLE, F.I.*2016*2016-01-01*2016-12-31*6, de una escala del 1 al 7*2.355*0.095**1414277.165*4231.0*0.0*23880574.0*False*20.2304*1.5699999999999998*0.0*1.5699999999999998*0.09****False*Y*2016
IMANTIA FUTURO, FI*Imantia Flexible, F.I.*2016 T2*2016-01-01*2016-06-30*6, de una escala del 1 al 7*5.73*0.12**2626775.27*5998.0*0.0*32190730.0*False*19.5317*0.39999999999999997*0.0*0.39999999999999997*0.02****False*T*2016
IMANTIA FUTURO, FI*IMANTIA FLEXIBLE, F.I.*2016 T4*2016-07-01*2016-12-31*6, de una escala del 1 al 7*2.3400000000000003*-0.04999999999999999**908617.9799999997*3736.0*0.0*23880574.0*False*20.2304*0.41*0.0*0.41*0.030000000000000002****False*T*2016
IMANTIA FUTURO, FI*IMANTIA FLEXIBLE, F.I.*2017 T2*2017-01-01*2017-06-30*6, de una escala del 1 al 7*3.17*0.19**965998.4500000002*3403.0*0.0*21219926.0*False*20.5116*0.41*0.0*0.41*0.02****False*T*2017
IMANTIA FUTURO, FI*IMANTIA FLEXIBLE, F.I.*2018*2018-01-01*2018-12-31*6, de una escala del 1 al 7*0.9550000000000001*0.305**846268.855*3043.0*0.0*15563296.0*False*18.8268*1.65*0.0*1.65*0.09****False*Y*2018
IMANTIA FUTURO, FI*IMANTIA FLEXIBLE, F.I.*2018 T2*2018-01-01*2018-06-30*6, de una escala del 1 al 7*1.67*-0.38**835734.1199999999*3006.0*0.0*17729173.0*False*20.4753*0.41*0.0*0.41*0.02****False*T*2018
IMANTIA FUTURO, FI*IMANTIA FLEXIBLE, F.I.*2018 T4*2018-07-01*2018-12-31*6, de una escala del 1 al 7*1.53*1.24**806650.6*2870.0*0.0*15563296.0*False*18.8268*0.41*0.0*0.41*0.030000000000000002****False*T*2018
IMANTIA FUTURO, FI*IMANTIA FUTURO, F.I.*2019*2019-01-01*2019-12-31*6, de una escala del 1 al 7*1.5350000000000001*0.855**737507.15*2699.5*0.0*15743898.0*False*22.5452*1.6099999999999999*0.0*1.6099999999999999*0.09****False*Y*2019
IMANTIA FUTURO, FI*IMANTIA FLEXIBLE, F.I.*2019 T2*2019-01-01*2019-06-30*6, de una escala del 1 al 7*0.98*0.9500000000000001**748376.27*2701.0*0.0*15935070.0*False*20.5167*0.41*0.0*0.41*0.02****False*T*2019
IMANTIA FUTURO, FI*IMANTIA FUTURO, F.I.*2019 T4*2019-07-01*2019-12-31*6, de una escala del 1 al 7*3.7600000000000002*0.53**655588.43*2540.0*0.0*15743898.0*False*22.5452*0.38000000000000006*0.0*0.38000000000000006*0.030000000000000002****False*T*2019
IMANTIA FUTURO, FI*IMANTIA FUTURO, F.I.*2019*2019-01-01*2019-12-31*6, de una escala del 1 al 7*1.5350000000000001*0.855**737507.15*2699.5*0.0*15743898.0*False*22.5452*1.6099999999999999*0.0*1.6099999999999999*0.09****False*Y*2019
IMANTIA FUTURO, FI*IMANTIA FLEXIBLE, F.I.*2019 T2*2019-01-01*2019-06-30*6, de una escala del 1 al 7*0.98*0.9500000000000001**748376.27*2701.0*0.0*15935070.0*False*20.5167*0.41*0.0*0.41*0.02****False*T*2019
IMANTIA FUTURO, FI*IMANTIA FUTURO, F.I.*2019 T4*2019-07-01*2019-12-31*6, de una escala del 1 al 7*3.7600000000000002*0.53**655588.43*2540.0*0.0*15743898.0*False*22.5452*0.38000000000000006*0.0*0.38000000000000006*0.030000000000000002****False*T*2019
IMANTIA FUTURO, FI*IMANTIA FUTURO, F.I.*2020*2020-01-01*2020-12-31*6, de una escala del 1 al 7*0.805*0.06**637325.505*2463.5*0.0*17190084.0*False*27.4432*1.5*0.0*1.5*0.09****False*Y*2020
IMANTIA FUTURO, FI*IMANTIA FUTURO, F.I.*2020 T2*2020-01-01*2020-06-30*6, de una escala del 1 al 7*0.8*0.06**634704.94*2456.0*0.0*14467791.0*False*22.3177*0.38*0.0*0.38*0.02****False*T*2020
IMANTIA FUTURO, FI*IMANTIA FUTURO, F.I.*2020 T4*2020-07-01*2020-12-31*6, de una escala del 1 al 7*1.99*-0.13**608796.16*2420.0*0.0*17190084.0*False*27.4432*0.37*0.0*0.37*0.030000000000000002****False*T*2020
