fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
BEST MANAGER SELECTION,  FI*BEST MANAGER SELECTION FI*2011*2011-01-01*2011-12-31*MUY ALTO*0.435*0.97**5996.360000000001*39.5*0.0*5287416.0*False*495.3541***1.23*0.09****False*Y*2011
BEST MANAGER SELECTION,  FI*BEST MANAGER SELECTION FI*2011 T2*2011-01-01*2011-06-30*MUY ALTO*0.0*1.17**1258.7*8.0*0.0*658260.0*False*499.1709***0.3400000000000001*0.02****False*T*2011
BEST MANAGER SELECTION,  FI*BEST MANAGER SELECTION FI*2011 T4*2011-07-01*2011-12-31*MUY ALTO*0.5800000000000001*0.9300000000000002**11619.04*77.0*0.0*5287416.0*False*495.3541***0.34*0.030000000000000002****False*T*2011
BEST MANAGER SELECTION,  FI*BEST MANAGER SELECTION FI*2012 T2*2012-01-01*2012-06-30*MUY ALTO*-0.02*0.9400000000000001**32076.199999999997*618.0*0.0*12063069.0*False*520.0569*0.55*0.0*0.55*0.05****False*T*2012
BEST MANAGER SELECTION,  FI*BEST MANAGER SELECTION FI*2013*2013-01-01*2013-12-31*5 en una escala de 1 a 7.*0.14500000000000002*0.035**45497.055*527.5*0.0*33573506.0*False*609.9579*1.35*0.0*1.35*0.1****False*Y*2013
BEST MANAGER SELECTION,  FI*BEST MANAGER SELECTION FI*2013 T2*2013-01-01*2013-06-30*7 en una escala de 1 a 7.*0.15*0.02**41854.479999999996*495.0*0.0*20652880.0*False*574.4606*0.34*0.0*0.34*0.030000000000000002****False*T*2013
BEST MANAGER SELECTION,  FI*BEST MANAGER SELECTION FI*2013 T4*2013-07-01*2013-12-31*5 en una escala de 1 a 7.*0.020000000000000018*0.07**68427.97*693.0*0.0*33573506.0*False*609.9579*0.34*0.0*0.34*0.020000000000000004****False*T*2013
BEST MANAGER SELECTION,  FI*BEST MANAGER SELECTION FI*2014*2014-01-01*2014-12-31*4 en una escala de 1 a 7.*0.215*0.055**77573.29000000001*740.5*0.0*57047127.0*False*654.0422*1.35*0.0*1.35*0.1****False*Y*2014
BEST MANAGER SELECTION,  FI*BEST MANAGER SELECTION FI*2014 T2*2014-01-01*2014-06-30*4 en una escala de 1 a 7.*0.0*0.11**77808.9*733.0*0.0*42998577.0*False*633.0378*0.34*0.0*0.34*0.030000000000000002****False*T*2014
BEST MANAGER SELECTION,  FI*BEST MANAGER SELECTION FI*2014 T4*2014-07-01*2014-12-31*4 en una escala de 1 a 7.*0.43*-0.01**95588.66*826.0*0.0*57047127.0*False*654.0422*0.34*0.0*0.34*0.020000000000000004****False*T*2014
