fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
CATALANA OCCIDENTE PATRIMONIO, FI*CO PATRIMONIO, FI*2017 T2*2017-01-01*2017-06-30*4 en una escala del 1al 7,*0.21*0.0**1199765.17*1415.0*0.0*19658774.0*False*17.1484*0.5700000000000001*0.0*0.5700000000000001*0.02****False*T*2017
CATALANA OCCIDENTE PATRIMONIO, FI*CO PATRIMONIO, FI*2017 T4*2017-07-01*2017-12-31*4 en una escala del 1 al 7,*0.21000000000000002*0.0**1249829.6799999997*1544.0*0.0*21000774.0*False*17.2731*0.5599999999999999*0.0*0.5599999999999999*0.02****False*T*2017
CATALANA OCCIDENTE PATRIMONIO, FI*CO PATRIMONIO, FI*2018*2018-01-01*2018-12-31*4 en una escala del 1 al 7,*0.29000000000000004*-0.065**1289645.6400000001*1576.5*0.0*20494424.0*False*15.9495*2.25*0.0*2.25*0.08****False*Y*2018
CATALANA OCCIDENTE PATRIMONIO, FI*CO PATRIMONIO, FI*2018 T2*2018-01-01*2018-06-30*4 en una escala del 1 al 7,*0.19999999999999998*-0.06**1307831.6099999999*1571.0*0.0*22324620.0*False*17.248*0.5700000000000001*0.0*0.5700000000000001*0.02****False*T*2018
CATALANA OCCIDENTE PATRIMONIO, FI*CO PATRIMONIO, FI*2018 T4*2018-07-01*2018-12-31*4 en una escala del 1 al 7,*0.6200000000000001*-0.18000000000000002**1294117.8*1621.0*0.0*20494424.0*False*15.9495*0.5599999999999999*0.0*0.5599999999999999*0.02****False*T*2018
CATALANA OCCIDENTE PATRIMONIO, FI*CO PATRIMONIO, FI*2019*2019-01-01*2019-12-31*4 en una escala del 1 al 7*0.385*-0.13**1277188.865*1574.5*0.0*22207375.0*False*17.3446*2.25*0.0*2.25*0.08****False*Y*2019
CATALANA OCCIDENTE PATRIMONIO, FI*CO PATRIMONIO, FI*2019 T2*2019-01-01*2019-06-30*4 en una escala del 1 al 7,*0.36*-0.15**1316356.8199999998*1595.0*0.0*21989684.0*False*17.2602*0.56*0.0*0.56*0.02****False*T*2019
CATALANA OCCIDENTE PATRIMONIO, FI*CO PATRIMONIO, FI*2019 T4*2019-07-01*2019-12-31*4 en una escala del 1 al 7*0.8300000000000001*-0.24000000000000002**1300543.2300000002*1545.0*0.0*22207375.0*False*17.3446*0.5599999999999999*0.0*0.5599999999999999*0.02****False*T*2019
CATALANA OCCIDENTE PATRIMONIO, FI*CO PATRIMONIO, FI*2020*2020-01-01*2020-12-31*5 en una escala del 1al 7,*0.32499999999999996*-0.4**1134009.8*1457.0*0.0*16272403.0*False*15.1006*2.25*0.0*2.25*0.08****False*Y*2020
CATALANA OCCIDENTE PATRIMONIO, FI*CO PATRIMONIO, FI*2020 T2*2020-01-01*2020-06-30*5 en una escala del 1 al 7,*0.9999999999999999*-0.4**1165968.36*1459.0*0.0*17570065.0*False*14.7595*0.56*0.0*0.56*0.02****False*T*2020
CATALANA OCCIDENTE PATRIMONIO, FI*CO PATRIMONIO, FI*2020 T4*2020-07-01*2020-12-31*5 en una escala del 1al 7,*0.14*-0.4**1044964.9299999999*1391.0*0.0*16272403.0*False*15.1006*0.5599999999999999*0.0*0.5599999999999999*0.02****False*T*2020
