fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
EVER METAVALOR RENTA FIJA HIGH YIELD FI*EVER METAVALOR RENTA FIJA HIGH YIELD FI*2020*2020-01-01*2020-12-31*5 en una escala de 1 a 7*0.0*-1.2850000000000001**1870.86*2.5*0.0*1680.0*False*50.9091*0.9500000000000001*0.0*0.9500000000000001*0.07****False*Y*2020
EVER METAVALOR RENTA FIJA HIGH YIELD FI*EVER METAVALOR RENTA FIJA HIGH YIELD FI*2020 T2*2020-01-01*2020-06-30*5 en una escala de 1 a 7*0.0*-0.47**4417.44*7.0*0.0*354530.0*False*95.5938*0.27*0.0*0.27*0.019999999999999997****False*T*2020
EVER METAVALOR RENTA FIJA HIGH YIELD FI*EVER METAVALOR RENTA FIJA HIGH YIELD FI*2020 T4*2020-07-01*2020-12-31*5 en una escala de 1 a 7*0.0*-3.29**33.0*1.0*0.0*1680.0*False*50.9091*0.28*0.0*0.28*0.02****False*T*2020
