fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
CATALANA OCCIDENTE BOLSA ESPAÑOLA, FI*CO BOLSA ESPAÑOLA,FI*2017 T2*2017-01-01*2017-06-30*6 en una escala del 1al 7,*0.05*0.0**1084070.6300000001*1865.0*0.0*35454705.0*False*32.4049*0.56*0.0*0.56*0.02****False*T*2017
CATALANA OCCIDENTE BOLSA ESPAÑOLA, FI*CO BOLSA ESPAÑOLA,FI*2017 T4*2017-07-01*2017-12-31*6 en una escala del 1 al 7,*0.32*0.0**1084743.62*1917.0*0.0*34818562.0*False*31.7645*0.5599999999999999*0.0*0.5599999999999999*0.02****False*T*2017
CATALANA OCCIDENTE BOLSA ESPAÑOLA, FI*CO BOLSA ESPAÑOLA,FI*2018*2018-01-01*2018-12-31*6 en una escala del 1 al 7,*0.355*-0.06**1137561.845*2022.5*0.0*32743114.0*False*28.5341*2.25*0.0*2.25*0.08****False*Y*2018
CATALANA OCCIDENTE BOLSA ESPAÑOLA, FI*CO BOLSA ESPAÑOLA,FI*2018 T2*2018-01-01*2018-06-30*6 en una escala del 1 al 7,*0.27999999999999997*-0.06**1141899.6999999997*2008.0*0.0*35482348.0*False*31.4667*0.5700000000000001*0.0*0.5700000000000001*0.02****False*T*2018
CATALANA OCCIDENTE BOLSA ESPAÑOLA, FI*CO BOLSA ESPAÑOLA,FI*2018 T4*2018-07-01*2018-12-31*6 en una escala del 1 al 7,*0.74*-0.09**1160814.6400000001*2100.0*0.0*32743114.0*False*28.5341*0.5599999999999999*0.0*0.5599999999999999*0.02****False*T*2018
CATALANA OCCIDENTE BOLSA ESPAÑOLA, FI*CO BOLSA ESPAÑOLA,FI*2019*2019-01-01*2019-12-31*6 en una escala del 1 al 7*0.245*-0.06**1097920.6549999998*1987.5*0.0*33472106.0*False*30.9421*2.25*0.0*2.25*0.08****False*Y*2019
CATALANA OCCIDENTE BOLSA ESPAÑOLA, FI*CO BOLSA ESPAÑOLA,FI*2019 T2*2019-01-01*2019-06-30*6 en una escala del 1 al 7,*0.64*0.0**1082464.2999999998*1999.0*0.0*34349983.0*False*30.8327*0.5700000000000001*0.0*0.5700000000000001*0.02****False*T*2019
CATALANA OCCIDENTE BOLSA ESPAÑOLA, FI*CO BOLSA ESPAÑOLA,FI*2019 T4*2019-07-01*2019-12-31*6 en una escala del 1 al 7*0.18*-0.24**1029919.5799999998*1902.0*0.0*33472106.0*False*30.9421*0.5599999999999999*0.0*0.5599999999999999*0.02****False*T*2019
CATALANA OCCIDENTE BOLSA ESPAÑOLA, FI*CO BOLSA ESPAÑOLA,FI*2020*2020-01-01*2020-12-31*6 en una escala del 1al 7,*0.415*-0.405**1077907.625*1942.5*0.0*26897393.0*False*25.5233*2.25*0.0*2.25*0.08****False*Y*2020
CATALANA OCCIDENTE BOLSA ESPAÑOLA, FI*CO BOLSA ESPAÑOLA,FI*2020 T2*2020-01-01*2020-06-30*6 en una escala del 1 al 7,*0.81*-0.4**1121919.4500000002*1984.0*0.0*25374855.0*False*23.0266*0.56*0.0*0.56*0.02****False*T*2020
CATALANA OCCIDENTE BOLSA ESPAÑOLA, FI*CO BOLSA ESPAÑOLA,FI*2020 T4*2020-07-01*2020-12-31*6 en una escala del 1al 7,*0.31*-0.41999999999999993**998921.9099999999*1892.0*0.0*26897393.0*False*25.5233*0.5599999999999999*0.0*0.5599999999999999*0.02****False*T*2020
