fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
CAJA INGENIEROS ENVIRONMENT ISR, FI*CI ENVIRONMENT ISR, FI*2017 T2*2017-01-01*2017-06-30*Valor 4, en una escala de 1 al 7.*0.0*0.0**332553.38*2757.0*0.0*16643511.0*False*99.2004*0.32999999999999996*0.0*0.32999999999999996*0.05****False*T*2017
CAJA INGENIEROS ENVIRONMENT ISR, FI*CI ENVIRONMENT ISR A, FI*2018 T2*2018-01-01*2018-06-30*Valor 4, en una escala de 1 al 7.*0.0*0.0**177500.72999999998*1550.0*0.0*17717493.0*False*98.6543*0.34*0.0*0.34*0.05****True*T*2018
CAJA INGENIEROS ENVIRONMENT ISR, FI*CI ENVIRONMENT ISR I, FI*2018 T2*2018-01-01*2018-06-30*Valor 4, en una escala de 1 al 7.*0.0*0.0**87872.11*484.0*0.0*5379653.0*False*98.9161*0.2*0.0*0.2*0.02****True*T*2018
CAJA INGENIEROS ENVIRONMENT ISR, FI*CI ENVIRONMENT ISR A, FI*2019*2019-01-01*2019-12-31*Valor 4, en una escala de 1 al 7.*0.165*-0.02**347388.23*2491.5*0.0*43329266.0*False*110.301*1.35*0.9199999999999999*2.2800000000000002*0.2****True*Y*2019
CAJA INGENIEROS ENVIRONMENT ISR, FI*CI ENVIRONMENT ISR A, FI*2019 T2*2019-01-01*2019-06-30*Valor 4, en una escala de 1 al 7.*0.27*0.0**356727.03*2525.0*0.0*31339967.0*False*103.7923*0.34*0.20999999999999996*0.55*0.05****True*T*2019
CAJA INGENIEROS ENVIRONMENT ISR, FI*CI ENVIRONMENT ISR A, FI*2019 T4*2019-07-01*2019-12-31*Valor 4, en una escala de 1 al 7.*0.19*-0.08**448524.14*3207.0*0.0*43329266.0*False*110.301*0.34*0.48*0.8300000000000001*0.05****True*T*2019
CAJA INGENIEROS ENVIRONMENT ISR, FI*CI ENVIRONMENT ISR I, FI*2019*2019-01-01*2019-12-31*Valor 4, en una escala de 1 al 7.*0.165*-0.02**145398.115*615.5*0.0*17692490.0*False*112.65899999999999*0.8*0.0*0.8*0.1****True*Y*2019
CAJA INGENIEROS ENVIRONMENT ISR, FI*CI ENVIRONMENT ISR I, FI*2019 T2*2019-01-01*2019-06-30*Valor 4, en una escala de 1 al 7.*0.27*0.0**144396.91999999998*654.0*0.0*14056845.0*False*105.0967*0.2*0.0*0.2*0.030000000000000002****True*T*2019
CAJA INGENIEROS ENVIRONMENT ISR, FI*CI ENVIRONMENT ISR I, FI*2019 T4*2019-07-01*2019-12-31*Valor 4, en una escala de 1 al 7.*0.19*-0.08**175937.33000000002*655.0*0.0*17692490.0*False*112.65899999999999*0.2*0.0*0.2*0.020000000000000004****True*T*2019
CAJA INGENIEROS ENVIRONMENT ISR, FI*CI ENVIRONMENT ISR A, FI*2020*2020-01-01*2020-12-31*Valor 5, en una escala de 1 al 7.*0.155*-0.08499999999999999**592475.695*4095.5*0.0*81530172.0*False*116.6099*1.35*0.55*1.9*0.2****True*Y*2020
CAJA INGENIEROS ENVIRONMENT ISR, FI*CI ENVIRONMENT ISR A, FI*2020 T2*2020-01-01*2020-06-30*Valor 4, en una escala de 1 al 7.*0.21000000000000002*-0.08**549103.6799999999*3883.0*0.0*53021057.0*False*109.1459*0.33*0.0*0.33*0.05****True*T*2020
CAJA INGENIEROS ENVIRONMENT ISR, FI*CI ENVIRONMENT ISR A, FI*2020 T4*2020-07-01*2020-12-31*Valor 5, en una escala de 1 al 7.*0.16*-0.09999999999999999**862407.3999999999*5474.0*0.0*81530172.0*False*116.6099*0.34*0.3400000000000001*0.6799999999999999*0.05****True*T*2020
CAJA INGENIEROS ENVIRONMENT ISR, FI*CI ENVIRONMENT ISR I, FI*2020*2020-01-01*2020-12-31*Valor 5, en una escala de 1 al 7.*0.155*-0.08499999999999999**189273.03*807.5*0.0*22281177.0*False*120.7008*0.65*0.0*0.65*0.1****True*Y*2020
CAJA INGENIEROS ENVIRONMENT ISR, FI*CI ENVIRONMENT ISR I, FI*2020 T2*2020-01-01*2020-06-30*Valor 4, en una escala de 1 al 7.*0.21000000000000002*-0.08**203905.94999999998*760.0*0.0*21694930.0*False*111.8597*0.2*0.0*0.2*0.030000000000000002****True*T*2020
CAJA INGENIEROS ENVIRONMENT ISR, FI*CI ENVIRONMENT ISR I, FI*2020 T4*2020-07-01*2020-12-31*Valor 5, en una escala de 1 al 7.*0.16*-0.09999999999999999**192445.84000000003*986.0*0.0*22281177.0*False*120.7008*0.12*0.0*0.12*0.020000000000000004****True*T*2020
