fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*"Gaesco
                Fondo Fondtesoro Corto Plazo, FI"*2009*2009-01-01*2009-12-31*bajo*0.005*0.24**10113.775*507.0*0.0*13012011.0*False*1345.7805***0.6699999999999999*0.1****False*Y*2009
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*"Gaesco
                Fondo Fondtesoro Corto Plazo, FI"*2009 T4*2009-07-01*2009-12-31*bajo*0.0*0.24**8874.43*508.0*0.0*13012011.0*False*1345.7805***0.13999999999999999*0.020000000000000004****False*T*2009
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*"Gaesco
                Fondo Fondtesoro Corto Plazo, FI"*2009*2009-01-01*2009-12-31*bajo*0.005*0.24**10113.775*507.0*0.0*13012011.0*False*1345.7805***0.6699999999999999*0.1****False*Y*2009
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*"Gaesco
                Fondo Fondtesoro Corto Plazo, FI"*2009 T4*2009-07-01*2009-12-31*bajo*0.0*0.24**8874.43*508.0*0.0*13012011.0*False*1345.7805***0.13999999999999999*0.020000000000000004****False*T*2009
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*GVC Gaesco Fondo Fondtesoro Corto Plazo, FI*2014 T2*2014-01-01*2014-06-30*1 (En una escala del 1 al 7)*0.0*0.8420000000000001**5249.85*717.0*0.0*7279314.0*False*1365.8513*0.2*0.0*0.2*0.030000000000000002****False*T*2014
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*GVC Gaesco Fondo Fondtesoro Corto Plazo, FI*2014 T4*2014-07-01*2014-12-31*1 (En una escala del 1 al 7)*0.0*-0.26**4421.94*711.0*0.0*6627191.0*False*1366.5391*0.2*0.0*0.2*0.020000000000000004****False*T*2014
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*GVC Gaesco Fondo Fondtesoro Corto Plazo, FI*2015*2015-01-01*2015-12-31*1 (En una escala del 1 al 7)*0.0*0.285**4499.415*683.5*0.0*5812959.0*False*1366.601*0.26*0.0*0.26*0.1****False*Y*2015
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*GVC Gaesco Fondo Fondtesoro Corto Plazo, FI*2015 T2*2015-01-01*2015-06-30*1 (En una escala del 1 al 7)*0.0*0.2599999999999999**4507.66*677.0*0.0*6484688.0*False*1366.5674*0.09000000000000001*0.0*0.09000000000000001*0.030000000000000002****False*T*2015
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*GVC Gaesco Fondo Fondtesoro Corto Plazo, FI*2015 T4*2015-07-01*2015-12-31*1 (En una escala del 1 al 7)*0.0*0.0**4077.2400000000007*669.0*0.0*5812959.0*False*1366.601*0.01999999999999999*0.0*0.01999999999999999*0.020000000000000004****False*T*2015
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*GVC Gaesco Fondo Fondtesoro Corto Plazo, FI*2016*2016-01-01*2016-12-31*1 (En una escala del 1 al 7)*0.0*0.0**3854.08*662.0*0.0*5110796.0*False*1366.6291*0.03*0.0*0.03*0.1****False*Y*2016
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*GVC Gaesco Fondo Fondtesoro Corto Plazo, FI*2016 T2*2016-01-01*2016-06-30*1 (En una escala del 1 al 7)*0.0*0.0**3901.4399999999996*664.0*0.0*5423332.0*False*1366.6132*0.02*0.0*0.02*0.030000000000000002****False*T*2016
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*GVC Gaesco Fondo Fondtesoro Corto Plazo, FI*2016 T4*2016-07-01*2016-12-31*1 (En una escala del 1 al 7)*0.0*0.0**3569.4700000000003*646.0*0.0*5110796.0*False*1366.6291*-0.01*0.0*-0.01*0.020000000000000004****False*T*2016
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*GVC Gaesco Fondo Fondtesoro Corto Plazo, FI*2017*2017-01-01*2017-12-31*1 (En una escala del 1 al 7)*0.0*-0.2**7814.625*713.5*0.0*16358902.0*False*1366.6371*0.0*0.0*0.0*0.1****False*Y*2017
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*GVC Gaesco Fondo Fondtesoro Corto Plazo, FI*2017 T2*2017-01-01*2017-06-30*1 (En una escala del 1 al 7)*0.0*0.0**3844.98*627.0*0.0*5000580.0*False*1366.6308*0.0*0.0*0.0*0.030000000000000002****False*T*2017
