fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
BANKIA DIVIDENDO ESPAÑA , FI*M. BOLSA OPORT.*2009*2009-01-01*2009-12-31*Alto*0.09000000000000001*0.6950000000000001**1887164.3399999999*1927.5*0.0*29086587.0*False*15.2107***2.02*0.04****False*Y*2009
BANKIA DIVIDENDO ESPAÑA , FI*M. BOLSA OPORT.*2009 T4*2009-07-01*2009-12-31*Alto*0.05*0.31**1890836.0999999999*1882.0*0.0*29086587.0*False*15.2107***0.52*0.01****False*T*2009
BANKIA DIVIDENDO ESPAÑA , FI*M. BOLSA OPORT.*2010*2010-01-01*2010-12-31*MUY ALTO*0.13*0.385**1722720.61*1737.0*0.0*21484088.0*False*12.9069***1.25*0.04****False*Y*2010
BANKIA DIVIDENDO ESPAÑA , FI*M. BOLSA OPORT.*2010 T2*2010-01-01*2010-06-30*MUY ALTO*0.04000000000000001*0.31**1671178.5400000003*1710.0*0.0*21075507.0*False*11.8342***0.31*0.01****False*T*2010
BANKIA DIVIDENDO ESPAÑA , FI*M. BOLSA OPORT.*2010 T4*2010-07-01*2010-12-31*MUY ALTO*0.35*0.5499999999999999**1598324.2400000002*1624.0*0.0*21484088.0*False*12.9069***0.31*0.01****False*T*2010
BANKIA DIVIDENDO ESPAÑA , FI*M. BOLSA OPORT.*2011*2011-01-01*2011-12-31*MUY ALTO*0.5499999999999999*0.79**1533186.205*1534.5*0.0*18032357.0*False*11.9747***1.25*0.04****False*Y*2011
BANKIA DIVIDENDO ESPAÑA , FI*M. BOLSA OPORT.*2011 T2*2011-01-01*2011-06-30*MUY ALTO*0.6499999999999999*0.9700000000000001**1540654.2000000002*1545.0*0.0*22153654.0*False*14.1965***0.31*0.01****False*T*2011
BANKIA DIVIDENDO ESPAÑA , FI*M. BOLSA OPORT.*2011 T4*2011-07-01*2011-12-31*MUY ALTO*1.3299999999999998*0.68**1460563.81*1434.0*0.0*18032357.0*False*11.9747***0.31*0.01****False*T*2011
BANKIA DIVIDENDO ESPAÑA , FI*BANKIA DIVIDENDO ESPANA*2012*2012-01-01*2012-12-31*7*0.11*0.185**1463911.2149999999*1448.0*0.0*16226498.0*False*11.7069*1.58*0.0*1.58*0.09000000000000001****False*Y*2012
BANKIA DIVIDENDO ESPAÑA , FI*BANKIA DIVIDENDO ESPANA*2012 T2*2012-01-01*2012-06-30*MUY ALTO*0.03999999999999998*0.3**1615811.7799999998*1611.0*0.0*15480038.0*False*10.0405*0.31*0.0*0.31*0.01****False*T*2012
BANKIA DIVIDENDO ESPAÑA , FI*BANKIA DIVIDENDO ESPANA*2012 T4*2012-07-01*2012-12-31*7*0.06*0.03**1305637.47*1293.0*0.0*16226498.0*False*11.7069*0.49999999999999994*0.0*0.49999999999999994*0.04000000000000001****False*T*2012
BANKIA DIVIDENDO ESPAÑA , FI*BANKIA DIVIDENDO ESPANA*2012*2012-01-01*2012-12-31*7*0.11*0.185**1463911.2149999999*1448.0*0.0*16226498.0*False*11.7069*1.58*0.0*1.58*0.09000000000000001****False*Y*2012
BANKIA DIVIDENDO ESPAÑA , FI*BANKIA DIVIDENDO ESPANA*2012 T2*2012-01-01*2012-06-30*MUY ALTO*0.03999999999999998*0.3**1615811.7799999998*1611.0*0.0*15480038.0*False*10.0405*0.31*0.0*0.31*0.01****False*T*2012
BANKIA DIVIDENDO ESPAÑA , FI*BANKIA DIVIDENDO ESPANA*2012 T4*2012-07-01*2012-12-31*7*0.06*0.03**1305637.47*1293.0*0.0*16226498.0*False*11.7069*0.49999999999999994*0.0*0.49999999999999994*0.04000000000000001****False*T*2012
BANKIA DIVIDENDO ESPAÑA , FI*BANKIA DIVIDENDO ESPAÿA*2013*2013-01-01*2013-12-31*7, en una escala del 1 al 7*0.9299999999999999*0.01**1275088.4500000002*1272.5*0.0*19565846.0*False*15.145*2.0*0.0*2.0*0.15000000000000002****False*Y*2013
BANKIA DIVIDENDO ESPAÑA , FI*BANKIA DIVIDENDO ESPANA*2013 T2*2013-01-01*2013-06-30*MUY ALTO*1.5*0.01**1171507.9600000002*1201.0*0.0*13811210.0*False*10.9763*0.5*0.0*0.5*0.030000000000000006****False*T*2013
BANKIA DIVIDENDO ESPAÑA , FI*BANKIA DIVIDENDO ESPAÿA*2013 T4*2013-07-01*2013-12-31*7, en una escala del 1 al 7*1.31*0.01**1406533.62*1361.0*0.0*19565846.0*False*15.145*0.51*0.0*0.51*0.04****False*T*2013
BANKIA DIVIDENDO ESPAÑA , FI*BANKIA DIVIDENDO ESPAÿA*2013*2013-01-01*2013-12-31*7, en una escala del 1 al 7*0.9299999999999999*0.01**1275088.4500000002*1272.5*0.0*19565846.0*False*15.145*2.0*0.0*2.0*0.15000000000000002****False*Y*2013
BANKIA DIVIDENDO ESPAÑA , FI*BANKIA DIVIDENDO ESPANA*2013 T2*2013-01-01*2013-06-30*MUY ALTO*1.5*0.01**1171507.9600000002*1201.0*0.0*13811210.0*False*10.9763*0.5*0.0*0.5*0.030000000000000006****False*T*2013
BANKIA DIVIDENDO ESPAÑA , FI*BANKIA DIVIDENDO ESPAÿA*2013 T4*2013-07-01*2013-12-31*7, en una escala del 1 al 7*1.31*0.01**1406533.62*1361.0*0.0*19565846.0*False*15.145*0.51*0.0*0.51*0.04****False*T*2013
BANKIA DIVIDENDO ESPAÑA , FI*BANKIA DIVIDENDO ESPAÿA*2014 T4*2014-07-01*2014-12-31*6, en una escala del 1 al 7*0.6*0.0**3147340.9400000004*2849.0*0.0*44238397.0*False*16.5819*0.51*0.0*0.51*0.04****False*T*2014
BANKIA DIVIDENDO ESPAÑA , FI*BANKIA DIVIDENDO ESPAÿA*2015*2015-01-01*2015-12-31*6, en una escala del 1 al 7*0.22500000000000003*0.0**3128576.16*3434.5*0.0*53878572.0*False*16.6141*2.0*0.0*2.0*0.15000000000000002****False*Y*2015
BANKIA DIVIDENDO ESPAÑA , FI*BANKIA DIVIDENDO ESPAÿA*2015 T2*2015-01-01*2015-06-30*6, en una escala del 1 al 7*0.2*0.0**3192938.48*3741.0*0.0*53932652.0*False*17.8928*0.5*0.0*0.5*0.030000000000000006****False*T*2015
BANKIA DIVIDENDO ESPAÑA , FI*BANKIA DIVIDENDO ESPAÿA*2015 T4*2015-07-01*2015-12-31*6, en una escala del 1 al 7*0.56*0.0**3350076.61*3684.0*0.0*53878572.0*False*16.6141*0.51*0.0*0.51*0.04****False*T*2015
BANKIA DIVIDENDO ESPAÑA , FI*BANKIA DIVIDENDO ESPAÿA*2016*2016-01-01*2016-12-31*6, en una escala del 1 al 7*0.275*0.0**3194364.1550000003*3586.5*0.0*54200235.0*False*16.8295*2.01*0.0*2.01*0.15000000000000002****False*Y*2016
BANKIA DIVIDENDO ESPAÑA , FI*BANKIA DIVIDENDO ESPAÿA*2016 T2*2016-01-01*2016-06-30*6, en una escala del 1 al 7*0.49000000000000005*0.0**3175953.86*3515.0*0.0*47085793.0*False*14.8621*0.5*0.0*0.5*0.030000000000000006****False*T*2016
BANKIA DIVIDENDO ESPAÑA , FI*BANKIA DIVIDENDO ESPAÿA*2016 T4*2016-07-01*2016-12-31*6, en una escala del 1 al 7*0.3*0.0**3310735.7800000003*3739.0*0.0*54200235.0*False*16.8295*0.51*0.0*0.51*0.04****False*T*2016
BANKIA DIVIDENDO ESPAÑA , FI*BANKIA DIVIDENDO ESPAÿA*2017*2017-01-01*2017-12-31*6, en una escala del 1 al 7*0.175*0.0**3695163.5599999996*4755.0*0.0*69702507.0*False*18.2721*2.0*0.0*2.0*0.15000000000000002****False*Y*2017
BANKIA DIVIDENDO ESPAÑA , FI*BANKIA DIVIDENDO ESPAÿA*2017 T2*2017-01-01*2017-06-30*6, en una escala del 1 al 7*0.28*0.0**3744922.36*4929.0*0.0*67241173.0*False*18.8054*0.5*0.0*0.5*0.030000000000000006****False*T*2017
