fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
ACACIA REINVERPLUS EUROPA FI*ACACIA REINVERPLUS EUROPA FI*2011*2011-01-01*2011-12-31*ALTO*0.67*0.375**2468954.045*60.0*0.0*3944312.0*False*0.8505***1.01*0.09****False*Y*2011
ACACIA REINVERPLUS EUROPA FI*ACACIA REINVERPLUS EUROPA FI*2011 T2*2011-01-01*2011-06-30*ALTO*0.0*0.09000000000000001**300000.0*1.0*0.0*297933.0*False*0.9931***0.33*0.03****False*T*2011
ACACIA REINVERPLUS EUROPA FI*ACACIA REINVERPLUS EUROPA FI*2011 T4*2011-07-01*2011-12-31*ALTO*1.7800000000000002*1.0899999999999999**5267824.75*121.0*0.0*3944312.0*False*0.8505***0.34*0.03****False*T*2011
ACACIA REINVERPLUS EUROPA FI*ACACIA REINVERPLUS EUROPA FI*2012*2012-01-01*2012-12-31*ALTO*0.675*0.28**4749094.84*120.0*0.0*4623402.0*False*0.9513*1.35**1.35*0.12****False*Y*2012
ACACIA REINVERPLUS EUROPA FI*ACACIA REINVERPLUS EUROPA FI*2012 T2*2012-01-01*2012-06-30*ALTO*1.1199999999999999*0.22999999999999998**4637908.09*119.0*0.0*4010460.0*False*0.8647*0.33**0.33*0.03****False*T*2012
ACACIA REINVERPLUS EUROPA FI*ACACIA REINVERPLUS EUROPA FI*2012 T4*2012-07-01*2012-12-31*ALTO*1.01*0.07**5004483.7299999995*122.0*0.0*4623402.0*False*0.9513*0.34**0.34*0.03****False*T*2012
ACACIA REINVERPLUS EUROPA FI*ACACIA REINVERPLUS EUROPA FI*2013*2013-01-01*2013-12-31*ALTO*0.435*0.095**5116668.27*123.0*0.0*6317875.0*False*1.1703*1.35**1.35*0.12****False*Y*2013
ACACIA REINVERPLUS EUROPA FI*ACACIA REINVERPLUS EUROPA FI*2013 T2*2013-01-01*2013-06-30*ALTO*0.7000000000000001*0.18000000000000002**4829339.319999999*119.0*0.0*4720888.0*False*0.9765*0.34**0.34*0.03****False*T*2013
ACACIA REINVERPLUS EUROPA FI*ACACIA REINVERPLUS EUROPA FI*2013 T4*2013-07-01*2013-12-31*ALTO*0.61*0.060000000000000005**5941872.330000001*132.0*0.0*6317875.0*False*1.1703*0.34**0.34*0.03****False*T*2013
ACACIA REINVERPLUS EUROPA FI*ACACIA REINVERPLUS EUROPA FI*2014*2014-01-01*2014-12-31*ALTO*0.455*0.095**5955151.015000001*128.0*0.0*7453936.0*False*1.2297*1.35**1.35*0.12****False*Y*2014
ACACIA REINVERPLUS EUROPA FI*ACACIA REINVERPLUS EUROPA FI*2014 T2*2014-01-01*2014-06-30*ALTO*0.64*0.14**6185947.040000001*130.0*0.0*7312824.0*False*1.2503*0.34**0.34*0.03****False*T*2014
ACACIA REINVERPLUS EUROPA FI*ACACIA REINVERPLUS EUROPA FI*2014 T4*2014-07-01*2014-12-31*ALTO*0.68*0.009999999999999995**6184834.96*128.0*0.0*7453936.0*False*1.2297*0.34**0.34*0.03****False*T*2014
ACACIA REINVERPLUS EUROPA FI*ACACIA REINVERPLUS EUROPA FI*2015 T2*2015-01-01*2015-06-30*ALTO*0.6399999999999999*0.01**6251653.22*128.0*0.0*8633920.0*False*1.4043*0.34**0.34*0.03****False*T*2015
ACACIA REINVERPLUS EUROPA FI*ACACIA REINVERPLUS EUROPA FI*2016*2016-01-01*2016-12-31*ALTO*0.26*0.03**6145324.58*127.0*0.0*8068789.0*False*1.3396*1.35**1.35*0.12****False*Y*2016
ACACIA REINVERPLUS EUROPA FI*ACACIA REINVERPLUS EUROPA FI*2016 T2*2016-01-01*2016-06-30*ALTO*0.8*0.0**6222521.949999999*130.0*0.0*7401547.0*False*1.181*0.33**0.33*0.03****False*T*2016
ACACIA REINVERPLUS EUROPA FI*ACACIA REINVERPLUS EUROPA FI*2016 T4*2016-07-01*2016-12-31*ALTO*0.0*0.0**5829204.299999999*119.0*0.0*8068789.0*False*1.3396*0.34**0.34*0.03****False*T*2016
ACACIA REINVERPLUS EUROPA FI*ACACIA REINVERPLUS EUROPA FI*2017*2017-01-01*2017-12-31*ALTO*0.89*0.005**7633359.105*141.5*0.0*12656152.0*False*1.5279*1.35**1.35*0.12****False*Y*2017
ACACIA REINVERPLUS EUROPA FI*ACACIA REINVERPLUS EUROPA FI*2017 T2*2017-01-01*2017-06-30*ALTO*1.71*0.02**7325291.78*144.0*0.0*10140186.0*False*1.4521*0.34**0.34*0.03****False*T*2017
ACACIA REINVERPLUS EUROPA FI*ACACIA REINVERPLUS EUROPA FI*2017 T4*2017-07-01*2017-12-31*ALTO*0.52*0.0**9477268.3*156.0*0.0*12656152.0*False*1.5279*0.34**0.34*0.03****False*T*2017
