fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
RFMI MULTIGESTION FI*RFMI MULTIGESTION FI*2010*2010-01-01*2010-12-31*MEDIO*0.0*0.215**10734106.86*16.0*0.0*128422789.0*False*5.996***0.18*0.04****False*Y*2010
RFMI MULTIGESTION FI*RFMI MULTIGESTION FI*2010 T4*2010-07-01*2010-12-31*MEDIO*0.0*0.49**21525758.499999996*61.0*0.0*128422789.0*False*5.996***0.09999999999999999*0.02****False*T*2010
RFMI MULTIGESTION FI*RFMI MULTIGESTION FI*2011*2011-01-01*2011-12-31*MEDIO*0.605*0.6799999999999999**21576771.775*105.0*0.0*128395669.0*False*5.9541***0.36*0.08****False*Y*2011
RFMI MULTIGESTION FI*RFMI MULTIGESTION FI*2011 T2*2011-01-01*2011-06-30*MEDIO*0.7999999999999999*0.98**21580064.8*148.0*0.0*129703952.0*False*6.0078***0.09*0.02****False*T*2011
RFMI MULTIGESTION FI*RFMI MULTIGESTION FI*2011 T4*2011-07-01*2011-12-31*MEDIO*0.9299999999999999*0.26**21555950.54*90.0*0.0*128395669.0*False*5.9541***0.09*0.02****False*T*2011
RFMI MULTIGESTION FI*RFMI MULTIGESTION FI*2012*2012-01-01*2012-12-31*MEDIO*0.945*0.15000000000000002**19644984.869999997*102.5*0.0*108686529.0*False*6.1277*0.37**0.37*0.08****False*Y*2012
RFMI MULTIGESTION FI*RFMI MULTIGESTION FI*2012 T2*2012-01-01*2012-06-30*MEDIO*2.03*0.24000000000000002**21534723.589999996*101.0*0.0*129648011.0*False*6.0153*0.09**0.09*0.02****False*T*2012
RFMI MULTIGESTION FI*RFMI MULTIGESTION FI*2012 T4*2012-07-01*2012-12-31*MEDIO*1.3599999999999999*0.05000000000000002**17724418.6*103.0*0.0*108686529.0*False*6.1277*0.1**0.1*0.02****False*T*2012
RFMI MULTIGESTION FI*RFMI MULTIGESTION FI*2013*2013-01-01*2013-12-31*MEDIO-ALTO*0.9099999999999999*0.045**17724848.68*100.5*0.0*111576416.0*False*6.2971*0.28**0.28*0.08****False*Y*2013
RFMI MULTIGESTION FI*RFMI MULTIGESTION FI*2013 T2*2013-01-01*2013-06-30*MEDIO*1.6999999999999997*0.05**17750842.69*104.0*0.0*108243853.0*False*6.1048*0.06999999999999999**0.06999999999999999*0.02****False*T*2013
RFMI MULTIGESTION FI*RFMI MULTIGESTION FI*2013 T4*2013-07-01*2013-12-31*MEDIO-ALTO*0.9600000000000001*0.060000000000000005**17708145.259999998*98.0*0.0*111576416.0*False*6.2971*0.06**0.06*0.02****False*T*2013
RFMI MULTIGESTION FI*RFMI MULTIGESTION FI*2014 T2*2014-01-01*2014-06-30*MEDIO-ALTO*0.6900000000000001*0.12**17633567.16*107.0*0.0*114090563.0*False*6.456*0.07**0.07*0.02****False*T*2014
RFMI MULTIGESTION FI*RFMI MULTIGESTION FI*2015*2015-01-01*2015-12-31*MEDIO-ALTO*0.32*0.0**20746694.045*130.0*0.0*137894857.0*False*6.642*0.27**0.27*0.08****False*Y*2015
RFMI MULTIGESTION FI*RFMI MULTIGESTION FI*2015 T2*2015-01-01*2015-06-30*MEDIO-ALTO*0.53*0.0**20730077.740000002*109.0*0.0*139176303.0*False*6.712999999999999*0.06**0.06*0.02****False*T*2015
