fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
IMANTIA GLOBAL CONSERVADOR, FI*A.C.G.Global Conservador,F.I.*2014 T2*2014-01-01*2014-06-30*2, de una escala del 1 al 7*0.32*0.01**2144514.22*977.0*0.0*25964107.0*False*11.784*0.2*0.04000000000000001*0.24000000000000005*0.02****False*T*2014
IMANTIA GLOBAL CONSERVADOR, FI*Imantia G.Global Conservador,F.I.*2015*2015-01-01*2015-12-31*2, de una escala del 1 al 7*0.61*0.10500000000000001**3222721.575*2346.5*0.0*31264498.0*False*11.8941*0.8*0.0*0.8*0.09****False*Y*2015
IMANTIA GLOBAL CONSERVADOR, FI*A.C.G.Global Conservador,F.I.*2015 T2*2015-01-01*2015-06-30*2, de una escala del 1 al 7*0.21999999999999997*0.01**4079427.88*2944.0*0.0*45597241.0*False*11.9462*0.2*-0.15*0.050000000000000044*0.02****False*T*2015
IMANTIA GLOBAL CONSERVADOR, FI*Imantia G.Global Conservador,F.I.*2015 T4*2015-07-01*2015-12-31*2, de una escala del 1 al 7*1.3900000000000001*0.39**2022461.4900000002*1591.0*0.0*31264498.0*False*11.8941*0.2*0.0*0.2*0.030000000000000002****False*T*2015
IMANTIA GLOBAL CONSERVADOR, FI*Imantia G.Global Conservador,F.I.*2015*2015-01-01*2015-12-31*2, de una escala del 1 al 7*0.61*0.10500000000000001**3222721.575*2346.5*0.0*31264498.0*False*11.8941*0.8*0.0*0.8*0.09****False*Y*2015
IMANTIA GLOBAL CONSERVADOR, FI*A.C.G.Global Conservador,F.I.*2015 T2*2015-01-01*2015-06-30*2, de una escala del 1 al 7*0.21999999999999997*0.01**4079427.88*2944.0*0.0*45597241.0*False*11.9462*0.2*-0.15*0.050000000000000044*0.02****False*T*2015
IMANTIA GLOBAL CONSERVADOR, FI*Imantia G.Global Conservador,F.I.*2015 T4*2015-07-01*2015-12-31*2, de una escala del 1 al 7*1.3900000000000001*0.39**2022461.4900000002*1591.0*0.0*31264498.0*False*11.8941*0.2*0.0*0.2*0.030000000000000002****False*T*2015
IMANTIA GLOBAL CONSERVADOR, FI*IMANTIA GLOBAL CONSERVADOR, F.I.*2016*2016-01-01*2016-12-31*2, de una escala del 1 al 7*0.81*0.375**1668631.18*1347.5*0.0*16538471.0*False*11.8623*0.8*0.0*0.8*0.09****False*Y*2016
IMANTIA GLOBAL CONSERVADOR, FI*Imantia Global Conservador,F.I.*2016 T2*2016-01-01*2016-06-30*2, de una escala del 1 al 7*0.98*0.5499999999999999**1672158.69*1331.0*0.0*22969118.0*False*11.8211*0.2*0.0*0.2*0.02****False*T*2016
IMANTIA GLOBAL CONSERVADOR, FI*IMANTIA GLOBAL CONSERVADOR, F.I.*2016 T4*2016-07-01*2016-12-31*2, de una escala del 1 al 7*1.63*-0.08999999999999997**1083932.7299999997*960.0*0.0*16538471.0*False*11.8623*0.2*0.0*0.2*0.030000000000000002****False*T*2016
IMANTIA GLOBAL CONSERVADOR, FI*IMANTIA GLOBAL CONSERVADOR, F.I.*2016*2016-01-01*2016-12-31*2, de una escala del 1 al 7*0.81*0.375**1668631.18*1347.5*0.0*16538471.0*False*11.8623*0.8*0.0*0.8*0.09****False*Y*2016
IMANTIA GLOBAL CONSERVADOR, FI*Imantia Global Conservador,F.I.*2016 T2*2016-01-01*2016-06-30*2, de una escala del 1 al 7*0.98*0.5499999999999999**1672158.69*1331.0*0.0*22969118.0*False*11.8211*0.2*0.0*0.2*0.02****False*T*2016
IMANTIA GLOBAL CONSERVADOR, FI*IMANTIA GLOBAL CONSERVADOR, F.I.*2016 T4*2016-07-01*2016-12-31*2, de una escala del 1 al 7*1.63*-0.08999999999999997**1083932.7299999997*960.0*0.0*16538471.0*False*11.8623*0.2*0.0*0.2*0.030000000000000002****False*T*2016
IMANTIA GLOBAL CONSERVADOR, FI*IMANTIA GLOBAL CONSERVADOR, F.I.*2017 T2*2017-01-01*2017-06-30*2, de una escala del 1 al 7*3.8899999999999997*0.03**1014619.71*821.0*0.0*13217538.0*False*11.948*0.2*0.06*0.26*0.02****False*T*2017
IMANTIA GLOBAL CONSERVADOR, FI*IMANTIA GLOBAL CONSERVADOR, F.I.*2018*2018-01-01*2018-12-31*2, de una escala del 1 al 7*0.485*0.13**1474598.38*1197.0*0.0*17425221.0*False*11.6244*0.8*0.0*0.8*0.09****False*Y*2018
IMANTIA GLOBAL CONSERVADOR, FI*IMANTIA GLOBAL CONSERVADOR, F.I.*2018 T2*2018-01-01*2018-06-30*2, de una escala del 1 al 7*1.17*-0.06999999999999999**1722651.1600000001*1346.0*0.0*17110151.0*False*11.7987*0.2*0.0*0.2*0.02****False*T*2018
IMANTIA GLOBAL CONSERVADOR, FI*IMANTIA GLOBAL CONSERVADOR, F.I.*2018 T4*2018-07-01*2018-12-31*2, de una escala del 1 al 7*0.29000000000000004*0.5**1446376.7*1165.0*0.0*17425221.0*False*11.6244*0.2*0.0*0.2*0.030000000000000002****False*T*2018
IMANTIA GLOBAL CONSERVADOR, FI*IMANTIA GLOBAL CONSERVADOR, F.I.*2019 T2*2019-01-01*2019-06-30*2, de una escala del 1 al 7*0.29000000000000004*0.35**1562060.58*1209.0*0.0*18304933.0*False*11.8873*0.2*0.0*0.2*0.02****False*T*2019
IMANTIA GLOBAL CONSERVADOR, FI*IMANTIA GLOBAL CONSERVADOR, F.I.*2020*2020-01-01*2020-12-31*2, de una escala del 1 al 7*0.715*-0.12000000000000001**1515208.72*1204.5*0.0*17065723.0*False*11.297*0.8*0.0*0.8*0.09****False*Y*2020
IMANTIA GLOBAL CONSERVADOR, FI*IMANTIA GLOBAL CONSERVADOR, F.I.*2020 T2*2020-01-01*2020-06-30*2, de una escala del 1 al 7*1.77*-0.14**1461422.32*1170.0*0.0*16986692.0*False*11.1771*0.2*0.0*0.2*0.02****False*T*2020
IMANTIA GLOBAL CONSERVADOR, FI*IMANTIA GLOBAL CONSERVADOR, F.I.*2020 T4*2020-07-01*2020-12-31*2, de una escala del 1 al 7*0.26*-0.020000000000000018**1441258.6099999999*1148.0*0.0*17065723.0*False*11.297*0.2*0.0*0.2*0.030000000000000002****False*T*2020
