fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
MAGALLANES IBERIAN EQUITY FI*MAGALLANES IBERIAN EQUITY- CLASE P*2017 T4*2017-07-01*2017-12-31*7 en una escala del 1 al 7*-0.06*0.0**555977.2700000001*-31.0*0.0*87139461.0*False*150.6948*0.31**0.31*0.019999999999999997****True*T*2017
MAGALLANES IBERIAN EQUITY FI*MAGALLANES IBERIAN EQUITY- CLASE E*2018 T2*2018-01-01*2018-06-30*7 en una escala del 1 al 7*0.0*0.0**281647.30999999994*246.0*0.0*46993183.0*False*164.7357*0.13**0.13*0.01****True*T*2018
MAGALLANES IBERIAN EQUITY FI*MAGALLANES IBERIAN EQUITY- CLASE M*2018 T2*2018-01-01*2018-06-30*7 en una escala del 1 al 7*0.0*0.0**648300.3400000001*3563.0*0.0*84905306.0*False*157.8281*0.44**0.44*0.01****True*T*2018
MAGALLANES IBERIAN EQUITY FI*MAGALLANES IBERIAN EQUITY- CLASE P*2018 T2*2018-01-01*2018-06-30*7 en una escala del 1 al 7*0.0*0.0**912078.62*1093.0*0.0*127974259.0*False*160.5343*0.31**0.31*0.01****True*T*2018
MAGALLANES IBERIAN EQUITY FI*MAGALLANES IBERIAN EQUITY- CLASE E*2019*2019-01-01*2019-12-31*5 en una escala del 1 al 7*0.0*-0.35**253974.595*239.0*0.0*36013511.0*False*152.035*0.5**0.5*0.04****True*Y*2019
MAGALLANES IBERIAN EQUITY FI*MAGALLANES IBERIAN EQUITY- CLASE E*2019 T2*2019-01-01*2019-06-30*7 en una escala del 1 al 7*0.0*-0.6**259869.5*242.0*0.0*41323199.0*False*152.4432*0.13**0.13*0.01****True*T*2019
MAGALLANES IBERIAN EQUITY FI*MAGALLANES IBERIAN EQUITY- CLASE E*2019 T4*2019-07-01*2019-12-31*5 en una escala del 1 al 7*0.0*-0.5**196105.03000000003*228.0*0.0*36013511.0*False*152.035*0.12**0.12*0.01****True*T*2019
MAGALLANES IBERIAN EQUITY FI*MAGALLANES IBERIAN EQUITY- CLASE M*2019*2019-01-01*2019-12-31*5 en una escala del 1 al 7*0.0*-0.35**403780.78500000003*2494.0*0.0*52351131.0*False*142.9466*1.75**1.75*0.04****True*Y*2019
MAGALLANES IBERIAN EQUITY FI*MAGALLANES IBERIAN EQUITY- CLASE M*2019 T2*2019-01-01*2019-06-30*7 en una escala del 1 al 7*0.0*-0.6**386811.2*2499.0*0.0*63656363.0*False*144.2366*0.44**0.44*0.01****True*T*2019
MAGALLANES IBERIAN EQUITY FI*MAGALLANES IBERIAN EQUITY- CLASE M*2019 T4*2019-07-01*2019-12-31*5 en una escala del 1 al 7*0.0*-0.5**316976.07*2158.0*0.0*52351131.0*False*142.9466*0.44**0.44*0.01****True*T*2019
MAGALLANES IBERIAN EQUITY FI*MAGALLANES IBERIAN EQUITY- CLASE P*2019*2019-01-01*2019-12-31*5 en una escala del 1 al 7*0.0*-0.35**620165.565*876.5*0.0*85081925.0*False*146.4955*1.25**1.25*0.04****True*Y*2019
MAGALLANES IBERIAN EQUITY FI*MAGALLANES IBERIAN EQUITY- CLASE P*2019 T2*2019-01-01*2019-06-30*7 en una escala del 1 al 7*0.0*-0.6**591206.9099999999*888.0*0.0*97247426.0*False*147.4453*0.31**0.31*0.01****True*T*2019
MAGALLANES IBERIAN EQUITY FI*MAGALLANES IBERIAN EQUITY- CLASE P*2019 T4*2019-07-01*2019-12-31*5 en una escala del 1 al 7*0.0*-0.5**541643.7999999999*780.0*0.0*85081925.0*False*146.4955*0.31**0.31*0.01****True*T*2019
MAGALLANES IBERIAN EQUITY FI*MAGALLANES IBERIAN EQUITY- CLASE E*2020*2020-01-01*2020-12-31*6 en una escala del 1 al 7*0.04*-0.4**289705.485*234.0*0.0*38712607.0*False*134.0567*0.5**0.5*0.04****True*Y*2020
MAGALLANES IBERIAN EQUITY FI*MAGALLANES IBERIAN EQUITY- CLASE E*2020 T2*2020-01-01*2020-06-30*5 en una escala del 1 al 7*0.0*-0.4**273264.5*230.0*0.0*31945767.0*False*109.9179*0.13**0.13*0.01****True*T*2020
MAGALLANES IBERIAN EQUITY FI*MAGALLANES IBERIAN EQUITY- CLASE E*2020 T4*2020-07-01*2020-12-31*6 en una escala del 1 al 7*0.1*-0.4**287781.56999999995*231.0*0.0*38712607.0*False*134.0567*0.12**0.12*0.01****True*T*2020
MAGALLANES IBERIAN EQUITY FI*MAGALLANES IBERIAN EQUITY- CLASE M*2020*2020-01-01*2020-12-31*6 en una escala del 1 al 7*0.04*-0.4**278453.365*2011.0*0.0*32694669.0*False*124.4773*1.75**1.75*0.04****True*Y*2020
MAGALLANES IBERIAN EQUITY FI*MAGALLANES IBERIAN EQUITY- CLASE M*2020 T2*2020-01-01*2020-06-30*5 en una escala del 1 al 7*0.0*-0.4**270063.01999999996*1995.0*0.0*30221576.0*False*102.7068*0.43**0.43*0.01****True*T*2020
MAGALLANES IBERIAN EQUITY FI*MAGALLANES IBERIAN EQUITY- CLASE M*2020 T4*2020-07-01*2020-12-31*6 en una escala del 1 al 7*0.1*-0.4**252090.69*1880.0*0.0*32694669.0*False*124.4773*0.44**0.44*0.01****True*T*2020
MAGALLANES IBERIAN EQUITY FI*MAGALLANES IBERIAN EQUITY- CLASE P*2020*2020-01-01*2020-12-31*6 en una escala del 1 al 7*0.04*-0.4**467023.635*667.5*0.0*55572653.0*False*128.2071*1.25**1.25*0.04****True*Y*2020
MAGALLANES IBERIAN EQUITY FI*MAGALLANES IBERIAN EQUITY- CLASE P*2020 T2*2020-01-01*2020-06-30*5 en una escala del 1 al 7*0.0*-0.4**448282.30000000005*562.0*0.0*52821277.0*False*105.5186*0.31**0.31*0.01****True*T*2020
MAGALLANES IBERIAN EQUITY FI*MAGALLANES IBERIAN EQUITY- CLASE P*2020 T4*2020-07-01*2020-12-31*6 en una escala del 1 al 7*0.1*-0.4**354182.39*619.0*0.0*55572653.0*False*128.2071*0.32**0.32*0.01****True*T*2020
