fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
JAPAN DEEP VALUE FUND FI*JAPAN DEEP VALUE FUND FI*2016 T4*2016-07-01*2016-12-31*6*0.0*0.0**528112.9099999999*68.0*0.0*4731707.0*False*11.095999999999998*0.39*0.0*0.39*0.02****False*T*2016
JAPAN DEEP VALUE FUND FI*JAPAN DEEP VALUE FUND FI*2017*2017-01-01*2017-12-31*6 en una escala del 1 al 7.*0.0*0.0**1086373.4449999998*376.0*0.0*21332249.0*False*15.2489*1.49*0.0*1.49*0.07****False*Y*2017
JAPAN DEEP VALUE FUND FI*JAPAN DEEP VALUE FUND FI*2017 T2*2017-01-01*2017-06-30*6 en una escala del 1 al 7*0.0*0.0**896797.84*152.0*0.0*9822779.0*False*12.6941*0.37*0.0*0.37*0.02****False*T*2017
JAPAN DEEP VALUE FUND FI*JAPAN DEEP VALUE FUND FI*2017 T4*2017-07-01*2017-12-31*6 en una escala del 1 al 7.*-0.03*0.0**1801895.14*1006.0*0.0*21332249.0*False*15.2489*0.37*0.0*0.37*0.009999999999999998****False*T*2017
JAPAN DEEP VALUE FUND FI*JAPAN DEEP VALUE FUND FI*2018*2018-01-01*2018-12-31*6 en una escala del 1 al 7*0.19*0.0**2796103.675*1165.5*0.0*34172306.0*False*12.2261*1.5*0.0*1.5*0.06****False*Y*2018
JAPAN DEEP VALUE FUND FI*JAPAN DEEP VALUE FUND FI*2018 T2*2018-01-01*2018-06-30*6 en una escala del 1 al 7.*0.1*0.0**2920977.5700000003*1206.0*0.0*42531716.0*False*15.2052*0.37*0.0*0.37*0.009999999999999998****False*T*2018
JAPAN DEEP VALUE FUND FI*JAPAN DEEP VALUE FUND FI*2018 T4*2018-07-01*2018-12-31*6 en una escala del 1 al 7*0.43999999999999995*0.0**2798087.9799999995*1132.0*0.0*34172306.0*False*12.2261*0.38*0.0*0.38*0.009999999999999998****False*T*2018
JAPAN DEEP VALUE FUND FI*JAPAN DEEP VALUE FUND FI*2019*2019-01-01*2019-12-31*6 en una escala del 1 al 7*0.1*-0.29**2647129.135*1062.5*0.0*36112862.0*False*14.7539*1.5*0.0*1.5*0.06****False*Y*2019
JAPAN DEEP VALUE FUND FI*JAPAN DEEP VALUE FUND FI*2019 T2*2019-01-01*2019-06-30*6 en una escala del 1 al 7*0.28*-0.46**2692968.78*1048.0*0.0*36560803.0*False*12.8438*0.37*0.0*0.37*0.009999999999999998****False*T*2019
JAPAN DEEP VALUE FUND FI*JAPAN DEEP VALUE FUND FI*2019 T4*2019-07-01*2019-12-31*6 en una escala del 1 al 7*-0.06999999999999999*-0.62**2151833.91*988.0*0.0*36112862.0*False*14.7539*0.38*0.0*0.38*0.009999999999999998****False*T*2019
JAPAN DEEP VALUE FUND FI*JAPAN DEEP VALUE FUND FI*2020*2020-01-01*2020-12-31*6 en una escala del 1 al 7*0.07*-0.665**2237889.2*929.5*0.0*32011272.0*False*14.9598*1.5*0.0*1.5*0.06****False*Y*2020
JAPAN DEEP VALUE FUND FI*JAPAN DEEP VALUE FUND FI*2020 T2*2020-01-01*2020-06-30*6 en una escala del 1 al 7*0.26*-0.69**2334010.35*945.0*0.0*31254003.0*False*13.3795*0.38*0.0*0.38*0.009999999999999998****False*T*2020
JAPAN DEEP VALUE FUND FI*JAPAN DEEP VALUE FUND FI*2020 T4*2020-07-01*2020-12-31*6 en una escala del 1 al 7*0.0*-0.5599999999999999**2078310.5199999996*867.0*0.0*32011272.0*False*14.9598*0.37*0.0*0.37*0.009999999999999998****False*T*2020
