fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
SABADELL ESPAÑA DIVIDENDO, FI*SABADELL ESPAÑA DIVIDENDO, FI - BASE*2016 T4*2016-07-01*2016-12-31*6, en una escala del 1 al 7*0.0*-0.08**3452193.8600000003*3533.0**56391000.0*False*15.7159*0.53*0.0*0.53*0.020000000000000004****True*T*2016
SABADELL ESPAÑA DIVIDENDO, FI*SABADELL ESPAÑA DIVIDENDO, FI - PLUS*2016*2016-01-01*2016-12-31*6, en una escala del 1 al 7*0.0*-0.02**935568.14*84.0**13648000.0*False*15.8493*1.61*0.0*1.61*0.1****True*Y*2016
SABADELL ESPAÑA DIVIDENDO, FI*SABADELL ESPAÑA DIVIDENDO, FI - PLUS*2016 T2*2016-01-01*2016-06-30*6, en una escala del 1 al 7*0.0*0.0**913017.54*84.0**13783000.0*False*13.6464*0.4*0.0*0.4*0.030000000000000002****True*T*2016
SABADELL ESPAÑA DIVIDENDO, FI*SABADELL ESPAÑA DIVIDENDO, FI - PLUS*2016 T4*2016-07-01*2016-12-31*6, en una escala del 1 al 7*0.0*-0.08**825438.7*73.0**13648000.0*False*15.8493*0.41000000000000003*0.0*0.41000000000000003*0.020000000000000004****True*T*2016
SABADELL ESPAÑA DIVIDENDO, FI*SABADELL ESPAÑA DIVIDENDO, FI - PREMIER*2016*2016-01-01*2016-12-31*6, en una escala del 1 al 7*0.0*-0.02**58511.65*1.0**937000.0*False*16.0113*1.0*0.0*1.0*0.1****True*Y*2016
SABADELL ESPAÑA DIVIDENDO, FI*SABADELL ESPAÑA DIVIDENDO, FI - PREMIER*2016 T2*2016-01-01*2016-06-30*6, en una escala del 1 al 7*0.0*0.0**58511.65*1.0**804000.0*False*13.7444*0.25*0.0*0.25*0.030000000000000002****True*T*2016
SABADELL ESPAÑA DIVIDENDO, FI*SABADELL ESPAÑA DIVIDENDO, FI - PREMIER*2016 T4*2016-07-01*2016-12-31*6, en una escala del 1 al 7*0.0*-0.08**58511.65*1.0**937000.0*False*16.0113*0.25*0.0*0.25*0.020000000000000004****True*T*2016
SABADELL ESPAÑA DIVIDENDO, FI*SABADELL ESPAÑA DIVIDENDO, FI - CARTERA*2016*2016-01-01*2016-12-31*6, en una escala del 1 al 7*0.0*-0.02**2525.33*1.0**40000.0*False*15.7832*1.85*0.0*1.85*0.1****True*Y*2016
SABADELL ESPAÑA DIVIDENDO, FI*SABADELL ESPAÑA DIVIDENDO, FI - CARTERA*2016 T2*2016-01-01*2016-06-30*6, en una escala del 1 al 7*0.0*0.0**2525.33*1.0**34000.0*False*13.6065*0.46*0.0*0.46*0.020000000000000004****True*T*2016
SABADELL ESPAÑA DIVIDENDO, FI*SABADELL ESPAÑA DIVIDENDO, FI - CARTERA*2016 T4*2016-07-01*2016-12-31*6, en una escala del 1 al 7*0.0*-0.08**2525.33*1.0**40000.0*False*15.7832*0.47000000000000003*0.0*0.47000000000000003*0.030000000000000002****True*T*2016
SABADELL ESPAÑA DIVIDENDO, FI*SABADELL ESPAÑA DIVIDENDO, FI - EMPRESA*2016 T4*2016-07-01*2016-12-31*6, en una escala del 1 al 7*0.0*-0.08**0.0*0.0**0.0*False*16.1944*0.0*0.0*0.0*0.0****True*T*2016
SABADELL ESPAÑA DIVIDENDO, FI*SABADELL ESPAÑA DIVIDENDO, FI - PYME*2016 T4*2016-07-01*2016-12-31*6, en una escala del 1 al 7*0.0*-0.08**3335.74*2.0**27000.0*False*16.1773*0.34*0.0*0.34*0.02****True*T*2016
SABADELL ESPAÑA DIVIDENDO, FI*SABADELL ESPAÑA DIVIDENDO, FI - BASE*2017 T2*2017-01-01*2017-06-30*6, en una escala del 1 al 7*0.0*-0.03**3251248.29*3567.0**61022000.0*False*18.4597*0.52*0.0*0.52*0.030000000000000002****True*T*2017
SABADELL ESPAÑA DIVIDENDO, FI*SABADELL ESPAÑA DIVIDENDO, FI - PLUS*2017 T2*2017-01-01*2017-06-30*6, en una escala del 1 al 7*0.0*-0.03**1007945.3999999999*102.0**17607000.0*False*18.6628*0.4*0.0*0.4*0.030000000000000002****True*T*2017
SABADELL ESPAÑA DIVIDENDO, FI*SABADELL ESPAÑA DIVIDENDO, FI - PREMIER*2017 T2*2017-01-01*2017-06-30*6, en una escala del 1 al 7*0.0*-0.03**58511.65*1.0**1106000.0*False*18.9098*0.25*0.0*0.25*0.030000000000000002****True*T*2017
SABADELL ESPAÑA DIVIDENDO, FI*SABADELL ESPAÑA DIVIDENDO, FI - CARTERA*2017 T2*2017-01-01*2017-06-30*6, en una escala del 1 al 7*0.0*-0.03**2525.33*1.0**47000.0*False*18.5619*0.46*0.0*0.46*0.030000000000000002****True*T*2017
SABADELL ESPAÑA DIVIDENDO, FI*SABADELL ESPAÑA DIVIDENDO, FI - EMPRESA*2017 T2*2017-01-01*2017-06-30*6, en una escala del 1 al 7*0.0*-0.03**0.0*0.0**0.0*False*19.0693*0.0*0.0*0.0*0.0****True*T*2017
SABADELL ESPAÑA DIVIDENDO, FI*SABADELL ESPAÑA DIVIDENDO, FI - PYME*2017 T2*2017-01-01*2017-06-30*6, en una escala del 1 al 7*0.0*-0.03**42702.21000000001*26.0**538000.0*False*19.0253*0.46*0.0*0.46*0.030000000000000002****True*T*2017
SABADELL ESPAÑA DIVIDENDO, FI*SABADELL ESPAÑA DIVIDENDO, FI - BASE*2018*2018-01-01*2018-12-31*6, en una escala del 1 al 7*0.16*-0.28**5098238.455*5074.0**80461000.0*False*15.6136*2.1*0.0*2.1*0.1****True*Y*2018
SABADELL ESPAÑA DIVIDENDO, FI*SABADELL ESPAÑA DIVIDENDO, FI - BASE*2018 T2*2018-01-01*2018-06-30*6, en una escala del 1 al 7*-0.21*-0.63**5885898.4*5715.0**95638000.0*False*18.9636*0.52*0.0*0.52*0.030000000000000002****True*T*2018
SABADELL ESPAÑA DIVIDENDO, FI*SABADELL ESPAÑA DIVIDENDO, FI - BASE*2018 T4*2018-07-01*2018-12-31*6, en una escala del 1 al 7*0.64*-0.38**5030779.34*4967.0**80461000.0*False*15.6136*0.53*0.0*0.53*0.020000000000000004****True*T*2018
SABADELL ESPAÑA DIVIDENDO, FI*SABADELL ESPAÑA DIVIDENDO, FI - PLUS*2018*2018-01-01*2018-12-31*6, en una escala del 1 al 7*0.16*-0.28**3077493.88*341.5**51886000.0*False*15.9039*1.6*0.0*1.6*0.1****True*Y*2018
SABADELL ESPAÑA DIVIDENDO, FI*SABADELL ESPAÑA DIVIDENDO, FI - PLUS*2018 T2*2018-01-01*2018-06-30*6, en una escala del 1 al 7*-0.21*-0.63**3739895.9699999997*421.0**55732000.0*False*19.2678*0.4*0.0*0.4*0.030000000000000002****True*T*2018
SABADELL ESPAÑA DIVIDENDO, FI*SABADELL ESPAÑA DIVIDENDO, FI - PLUS*2018 T4*2018-07-01*2018-12-31*6, en una escala del 1 al 7*0.64*-0.38**3274362.4*366.0**51886000.0*False*15.9039*0.41000000000000003*0.0*0.41000000000000003*0.020000000000000004****True*T*2018
SABADELL ESPAÑA DIVIDENDO, FI*SABADELL ESPAÑA DIVIDENDO, FI - PREMIER*2018*2018-01-01*2018-12-31*6, en una escala del 1 al 7*0.16*-0.28**100180.98*1.5**2307000.0*False*16.2614*1.0*0.0*1.0*0.1****True*Y*2018
SABADELL ESPAÑA DIVIDENDO, FI*SABADELL ESPAÑA DIVIDENDO, FI - PREMIER*2018 T2*2018-01-01*2018-06-30*6, en una escala del 1 al 7*-0.21*-0.63**58511.65*1.0**1149000.0*False*19.6412*0.25*0.0*0.25*0.030000000000000002****True*T*2018
SABADELL ESPAÑA DIVIDENDO, FI*SABADELL ESPAÑA DIVIDENDO, FI - PREMIER*2018 T4*2018-07-01*2018-12-31*6, en una escala del 1 al 7*0.64*-0.38**225188.97*3.0**2307000.0*False*16.2614*0.25*0.0*0.25*0.020000000000000004****True*T*2018
SABADELL ESPAÑA DIVIDENDO, FI*SABADELL ESPAÑA DIVIDENDO, FI - CARTERA*2018*2018-01-01*2018-12-31*6, en una escala del 1 al 7*0.16*-0.28**5087026.955*18048.5**82668000.0*False*15.9321*0.8*0.0*0.8*0.1****True*Y*2018
SABADELL ESPAÑA DIVIDENDO, FI*SABADELL ESPAÑA DIVIDENDO, FI - CARTERA*2018 T2*2018-01-01*2018-06-30*6, en una escala del 1 al 7*-0.21*-0.63**4883156.489999999*18059.0**95838000.0*False*19.2241*0.2*0.0*0.2*0.030000000000000002****True*T*2018
SABADELL ESPAÑA DIVIDENDO, FI*SABADELL ESPAÑA DIVIDENDO, FI - CARTERA*2018 T4*2018-07-01*2018-12-31*6, en una escala del 1 al 7*0.64*-0.38**5172212.070000001*16652.0**82668000.0*False*15.9321*0.2*0.0*0.2*0.020000000000000004****True*T*2018
SABADELL ESPAÑA DIVIDENDO, FI*SABADELL ESPAÑA DIVIDENDO, FI - EMPRESA*2018*2018-01-01*2018-12-31*6, en una escala del 1 al 7*0.16*-0.28**64307.69500000001*2.0**1001000.0*False*16.2513*1.6*0.0*1.6*0.1****True*Y*2018
