fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
ABANCA RENTA VARIABLE MIXTA, FI*Abanca Renta Variable Mixta, F.I.*2015 T4*2015-07-01*2015-12-31*5, de una escala del 1 al 7*2.71*0.44000000000000006**25526.06*1656.0*0.0*13817823.0*False*623.4023*0.3*0.3*0.6*0.05****False*T*2015
ABANCA RENTA VARIABLE MIXTA, FI*Abanca Renta Variable Mixta, F.I.*2016 T2*2016-01-01*2016-06-30*5, de una escala del 1 al 7*2.8899999999999997*0.74**22229.359999999997*1429.0*0.0*13374778.0*False*591.0623*0.3*0.0*0.3*0.05****False*T*2016
ABANCA RENTA VARIABLE MIXTA, FI*ABANCA RENTA VARIABLE MIXTA, F.I.*2017*2017-01-01*2017-12-31*5, de una escala del 1 al 7*1.04*0.02**25427.175000000003*1602.5*0.0*17772824.0*False*660.5956*1.21*0.39999999999999997*1.5899999999999999*0.2****False*Y*2017
ABANCA RENTA VARIABLE MIXTA, FI*ABANCA RENTA VARIABLE MIXTA, F.I.*2017 T2*2017-01-01*2017-06-30*5, de una escala del 1 al 7*1.8600000000000003*0.02**25804.93*1602.0*0.0*15723393.0*False*656.5061*0.3*0.10999999999999999*0.3999999999999999*0.05****False*T*2017
ABANCA RENTA VARIABLE MIXTA, FI*ABANCA RENTA VARIABLE MIXTA, F.I.*2017 T4*2017-07-01*2017-12-31*5, de una escala del 1 al 7*1.0299999999999998*-0.019999999999999997**28961.300000000003*1791.0*0.0*17772824.0*False*660.5956*0.31*-0.09000000000000001*0.21000000000000002*0.05****False*T*2017
ABANCA RENTA VARIABLE MIXTA, FI*ABANCA RENTA VARIABLE MIXTA, F.I.*2018*2018-01-01*2018-12-31*5, de una escala del 1 al 7*1.005*0.055**28430.86*1724.0*0.0*16508459.0*False*587.7588*1.21*0.0*1.21*0.2****False*Y*2018
ABANCA RENTA VARIABLE MIXTA, FI*ABANCA RENTA VARIABLE MIXTA, F.I.*2018 T2*2018-01-01*2018-06-30*5, de una escala del 1 al 7*1.5*-0.05**29291.88*1767.0*0.0*18601790.0*False*646.4659*0.3*0.0*0.3*0.05****False*T*2018
ABANCA RENTA VARIABLE MIXTA, FI*ABANCA RENTA VARIABLE MIXTA, F.I.*2018 T4*2018-07-01*2018-12-31*5, de una escala del 1 al 7*1.52*0.2**27615.68*1661.0*0.0*16508459.0*False*587.7588*0.31*0.0*0.31*0.05****False*T*2018
ABANCA RENTA VARIABLE MIXTA, FI*ABANCA RENTA VARIABLE MIXTA, F.I.*2019*2019-01-01*2019-12-31*5, de una escala del 1 al 7*0.815*0.07500000000000001**25643.260000000002*1554.0*0.0*15901919.0*False*656.2754*1.21*0.0*1.21*0.2****False*Y*2019
ABANCA RENTA VARIABLE MIXTA, FI*ABANCA RENTA VARIABLE MIXTA, F.I.*2019 T2*2019-01-01*2019-06-30*5, de una escala del 1 al 7*1.3900000000000001*0.12000000000000002**26270.25*1574.0*0.0*17244289.0*False*637.3564*0.3*0.0*0.3*0.05****False*T*2019
ABANCA RENTA VARIABLE MIXTA, FI*ABANCA RENTA VARIABLE MIXTA, F.I.*2019 T4*2019-07-01*2019-12-31*5, de una escala del 1 al 7*0.98*-0.09**22861.31*1407.0*0.0*15901919.0*False*656.2754*0.31*0.0*0.31*0.05****False*T*2019
ABANCA RENTA VARIABLE MIXTA, FI*ABANCA RENTA VARIABLE MIXTA, F.I.*2020*2020-01-01*2020-12-31*5, de una escala del 1 al 7*0.5449999999999999*0.015**20606.765*1336.0*0.0*13205064.0*False*658.898*1.2*0.0*1.2*0.2****False*Y*2020
ABANCA RENTA VARIABLE MIXTA, FI*ABANCA RENTA VARIABLE MIXTA, F.I.*2020 T2*2020-01-01*2020-06-30*4, de una escala del 1 al 7*1.1*0.02**21470.76*1369.0*0.0*13059367.0*False*616.8111*0.3*0.0*0.3*0.05****False*T*2020
ABANCA RENTA VARIABLE MIXTA, FI*ABANCA RENTA VARIABLE MIXTA, F.I.*2020 T4*2020-07-01*2020-12-31*5, de una escala del 1 al 7*0.5599999999999999*0.03**19073.28*1251.0*0.0*13205064.0*False*658.898*0.3*0.0*0.3*0.05****False*T*2020
