fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
MUTUAFONDO BOLSA EUROPEA, FI*"*D* MUTUAFONDO BOLSA FI"*2014 T4*2014-07-01*2014-12-31*6, en una escala de 1 a 7.*0.0*0.01**3815.5499999999997*25.0*0.0*266892.0*False*131.1946*0.37**0.37*0.01****True*T*2014
MUTUAFONDO BOLSA EUROPEA, FI*"*A* MUTUAFONDO BOLSA FI"*2015*2015-01-01*2015-12-31*6, en una escala de 1 a 7.*0.12*0.0**1210161.74*2021.5*0.0*147579891.0*False*142.1008*0.5*0.19000000000000006*0.69*0.05****True*Y*2015
MUTUAFONDO BOLSA EUROPEA, FI*"*A* MUTUAFONDO BOLSA FI"*2015 T2*2015-01-01*2015-06-30*6, en una escala de 1 a 7.*0.0*0.0**1775999.9900000002*2056.0*0.0*208620975.0*False*150.9815*0.13*-0.3799999999999999*-0.25*0.019999999999999997****True*T*2015
MUTUAFONDO BOLSA EUROPEA, FI*"*A* MUTUAFONDO BOLSA FI"*2015 T4*2015-07-01*2015-12-31*6, en una escala de 1 a 7.*0.38*0.0**747548.78*2174.0*0.0*147579891.0*False*142.1008*0.12*0.010000000000000009*0.12999999999999995*0.01****True*T*2015
MUTUAFONDO BOLSA EUROPEA, FI*"*D* MUTUAFONDO BOLSA FI"*2015*2015-01-01*2015-12-31*6, en una escala de 1 a 7.*0.12*0.0**241.215*8.5*0.0*27321.0*False*137.9828*1.51**1.51*0.02****True*Y*2015
MUTUAFONDO BOLSA EUROPEA, FI*"*D* MUTUAFONDO BOLSA FI"*2015 T2*2015-01-01*2015-06-30*6, en una escala de 1 a 7.*0.0*0.0**-116.10000000000002*3.0*0.0*42181.0*False*148.3019*0.37**0.37*0.0****True*T*2015
MUTUAFONDO BOLSA EUROPEA, FI*"*D* MUTUAFONDO BOLSA FI"*2015 T4*2015-07-01*2015-12-31*6, en una escala de 1 a 7.*0.38*0.0**154.35*10.0*0.0*27321.0*False*137.9828*0.38**0.38*0.01****True*T*2015
MUTUAFONDO BOLSA EUROPEA, FI*"*A* MUTUAFONDO BOLSA FI"*2016*2016-01-01*2016-12-31*6, en una escala de 1 a 7.*0.09999999999999999*-0.045**478386.67000000004*1869.5*0.0*77522797.0*False*144.7631*0.5**0.5*0.04****True*Y*2016
MUTUAFONDO BOLSA EUROPEA, FI*"*A* MUTUAFONDO BOLSA FI"*2016 T2*2016-01-01*2016-06-30*6, en una escala de 1 a 7.*0.02*0.0**341059.09*2053.0*0.0*53632945.0*False*127.316*0.12**0.12*0.01****True*T*2016
MUTUAFONDO BOLSA EUROPEA, FI*"*A* MUTUAFONDO BOLSA FI"*2016 T4*2016-07-01*2016-12-31*6, en una escala de 1 a 7.*0.29*-0.18**735736.3400000001*1759.0*0.0*77522797.0*False*144.7631*0.12**0.12*0.01****True*T*2016
MUTUAFONDO BOLSA EUROPEA, FI*"*D* MUTUAFONDO BOLSA FI"*2016*2016-01-01*2016-12-31*6, en una escala de 1 a 7.*0.09999999999999999*-0.045**112.32*5.0*0.0*16760.0*False*139.1631*1.5**1.5*0.02****True*Y*2016
MUTUAFONDO BOLSA EUROPEA, FI*"*D* MUTUAFONDO BOLSA FI"*2016 T2*2016-01-01*2016-06-30*6, en una escala de 1 a 7.*0.02*0.0**58.339999999999975*3.0*0.0*12819.0*False*123.0132*0.37**0.37*0.0****True*T*2016
MUTUAFONDO BOLSA EUROPEA, FI*"*D* MUTUAFONDO BOLSA FI"*2016 T4*2016-07-01*2016-12-31*6, en una escala de 1 a 7.*0.29*-0.18**149.57*6.0*0.0*16760.0*False*139.1631*0.37**0.37*0.0****True*T*2016
