fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
ING DIRECT FONDO NARANJA RENTA FIJA, FI*ING DIRECT FONDO NARANJA RENTA FIJA FI*2017*2017-01-01*2017-12-31*2, de una escala del 1 al 7*0.43500000000000005*0.225**112367505.83409649*74866.5*0.0*1609311296.0*False*13.4366*0.75*0.0*0.75*0.1****False*Y*2017
ING DIRECT FONDO NARANJA RENTA FIJA, FI*ING DIRECT FONDO NARANJA RENTA FIJA FI*2017 T2*2017-01-01*2017-06-30*2, de una escala del 1 al 7*0.8700000000000001*0.2**114995637.89250802*77264.0*0.0*1402234643.0*False*13.3592*0.19*0.0*0.19*0.030000000000000002****False*T*2017
ING DIRECT FONDO NARANJA RENTA FIJA, FI*ING DIRECT FONDO NARANJA RENTA FIJA FI*2017 T4*2017-07-01*2017-12-31*2, de una escala del 1 al 7*0.49000000000000005*0.25**126589532.22732298*84621.0*0.0*1609311296.0*False*13.4366*0.19*0.0*0.19*0.020000000000000004****False*T*2017
ING DIRECT FONDO NARANJA RENTA FIJA, FI*ING DIRECT FONDO NARANJA RENTA FIJA FI*2018*2018-01-01*2018-12-31*2, de una escala del 1 al 7*0.18*0.25**112657425.08111951*84179.0*0.0*1412517952.0*False*13.22*0.74*0.0*0.74*0.1****False*Y*2018
ING DIRECT FONDO NARANJA RENTA FIJA, FI*ING DIRECT FONDO NARANJA RENTA FIJA FI*2018 T2*2018-01-01*2018-06-30*2, de una escala del 1 al 7*0.13999999999999999*0.25**111981840.75819*85671.0*0.0*1574041434.0*False*13.2867*0.19*0.0*0.19*0.030000000000000002****False*T*2018
ING DIRECT FONDO NARANJA RENTA FIJA, FI*ING DIRECT FONDO NARANJA RENTA FIJA FI*2018 T4*2018-07-01*2018-12-31*2, de una escala del 1 al 7*0.38*0.25**98150919.03832401*80170.0*0.0*1412517952.0*False*13.22*0.19*0.0*0.19*0.020000000000000004****False*T*2018
ING DIRECT FONDO NARANJA RENTA FIJA, FI*ING DIRECT FONDO NARANJA RENTA FIJA FI*2019 T2*2019-01-01*2019-06-30*2*0.08000000000000002*-0.65**100773780.03564398*81257.0*0.0*1380248556.0*False*13.3852*0.19*0.0*0.19*0.030000000000000002****False*T*2019
ING DIRECT FONDO NARANJA RENTA FIJA, FI*ING DIRECT FONDO NARANJA RENTA FIJA FI*2020*2020-01-01*2020-12-31*2*0.30000000000000004*-0.52**73737295.64*63204.5*0.0*983857956.0*False*13.632*0.75*0.0*0.75*0.1****False*Y*2020
ING DIRECT FONDO NARANJA RENTA FIJA, FI*ING DIRECT FONDO NARANJA RENTA FIJA FI*2020 T2*2020-01-01*2020-06-30*2*0.43000000000000005*-0.5000000000000001**71165759.73*62768.0*0.0*998030740.0*False*13.2538*0.18*0.0*0.18*0.030000000000000002****False*T*2020
ING DIRECT FONDO NARANJA RENTA FIJA, FI*ING DIRECT FONDO NARANJA RENTA FIJA FI*2020 T4*2020-07-01*2020-12-31*2*0.56*-0.49**71476143.45*60012.0*0.0*983857956.0*False*13.632*0.13*0.0*0.13*0.020000000000000004****False*T*2020
