fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
BANKIA MIXTO FUTURO SOSTENIBLE, FI*PT. BANKIA MIXTO FUTURO SOSTENIBLE CARTERA FI*2019 T4*2019-07-01*2019-12-31*3, en una escala del 1 al 7*0.0*-0.26**2031.06*2.0*0.0*101615.0*False*100.061*0.02*0.0*0.02*0.0****True*T*2019
BANKIA MIXTO FUTURO SOSTENIBLE, FI*PT. BANKIA MIXTO FUTURO SOSTENIBLE CARTERA FI*2020*2020-01-01*2020-12-31*4, en una escala del 1 al 7*0.0*-0.16**17280.149999999998*35.0*0.0*3545194.0*False*105.6665*0.48*0.0*0.48*0.1****True*Y*2020
BANKIA MIXTO FUTURO SOSTENIBLE, FI*PT. BANKIA MIXTO FUTURO SOSTENIBLE CARTERA FI*2020 T2*2020-01-01*2020-06-30*3, en una escala del 1 al 7*-0.03*-0.14**1827.1*3.0*0.0*98724.0*False*97.7928*0.12*0.0*0.12*0.020000000000000004****True*T*2020
BANKIA MIXTO FUTURO SOSTENIBLE, FI*PT. BANKIA MIXTO FUTURO SOSTENIBLE CARTERA FI*2020 T4*2020-07-01*2020-12-31*4, en una escala del 1 al 7*-0.02*-0.15000000000000002**62180.53*126.0*0.0*3545194.0*False*105.6665*0.12*0.0*0.12*0.030000000000000002****True*T*2020
BANKIA MIXTO FUTURO SOSTENIBLE, FI*PT. BANKIA MIXTO FUTURO SOSTENIBLE PLUS, FI*2020*2020-01-01*2020-12-31*4, en una escala del 1 al 7*0.0*-0.16**88975.31*55.5*0.0*13009498.0*False*107.2303*0.99*0.0*0.99*0.1****True*Y*2020
BANKIA MIXTO FUTURO SOSTENIBLE, FI*PT. BANKIA MIXTO FUTURO SOSTENIBLE PLUS, FI*2020 T2*2020-01-01*2020-06-30*3, en una escala del 1 al 7*-0.03*-0.14**76714.56*43.0*0.0*5634441.0*False*99.4998*0.24*0.0*0.24*0.030000000000000002****True*T*2020
BANKIA MIXTO FUTURO SOSTENIBLE, FI*PT. BANKIA MIXTO FUTURO SOSTENIBLE PLUS, FI*2020 T4*2020-07-01*2020-12-31*4, en una escala del 1 al 7*-0.02*-0.15000000000000002**182107.7*117.0*0.0*13009498.0*False*107.2303*0.25*0.0*0.25*0.020000000000000004****True*T*2020
BANKIA MIXTO FUTURO SOSTENIBLE, FI*PT. BANKIA MIXTO FUTURO SOSTENIBLE UNIVERSAL,FI*2020*2020-01-01*2020-12-31*4, en una escala del 1 al 7*0.0*-0.16**371185.73*1934.0*0.0*57521687.0*False*106.6157*1.19*0.0*1.19*0.1****True*Y*2020
BANKIA MIXTO FUTURO SOSTENIBLE, FI*PT. BANKIA MIXTO FUTURO SOSTENIBLE UNIVERSAL,FI*2020 T2*2020-01-01*2020-06-30*3, en una escala del 1 al 7*-0.03*-0.14**215156.34999999998*1246.0*0.0*20087841.0*False*99.0291*0.29*0.0*0.29*0.030000000000000002****True*T*2020
BANKIA MIXTO FUTURO SOSTENIBLE, FI*PT. BANKIA MIXTO FUTURO SOSTENIBLE UNIVERSAL,FI*2020 T4*2020-07-01*2020-12-31*4, en una escala del 1 al 7*-0.02*-0.15000000000000002**826349.1499999999*4112.0*0.0*57521687.0*False*106.6157*0.3*0.0*0.3*0.020000000000000004****True*T*2020
