fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
ACACIA BONOMIX FI*ACACIA BONOMIX FI*2011*2011-01-01*2011-12-31*MEDIO/ALTO*0.17*0.8200000000000001**4403550.75*72.0*0.0*8246628.0*False*0.9694***0.75*0.09****False*Y*2011
ACACIA BONOMIX FI*ACACIA BONOMIX FI*2011 T2*2011-01-01*2011-06-30*MEDIO/ALTO*0.0*1.5**300000.0*1.0*0.0*299220.0*False*0.9974***0.24*0.03****False*T*2011
ACACIA BONOMIX FI*ACACIA BONOMIX FI*2011 T4*2011-07-01*2011-12-31*MEDIO/ALTO*0.56*0.6500000000000001**9011334.29*142.0*0.0*8246628.0*False*0.9694***0.25*0.03****False*T*2011
ACACIA BONOMIX FI*ACACIA BONOMIX FI*2012*2012-01-01*2012-12-31*MEDIO/ALTO*0.375*0.265**8430566.934999999*142.5*0.0*8564459.0*False*1.0263*1.0**1.0*0.12****False*Y*2012
ACACIA BONOMIX FI*ACACIA BONOMIX FI*2012 T2*2012-01-01*2012-06-30*MEDIO/ALTO*0.67*0.25**8474136.379999999*144.0*0.0*8274245.0*False*0.9716*0.25**0.25*0.03****False*T*2012
ACACIA BONOMIX FI*ACACIA BONOMIX FI*2012 T4*2012-07-01*2012-12-31*MEDIO/ALTO*0.48*0.09000000000000002**8272426.619999999*139.0*0.0*8564459.0*False*1.0263*0.25**0.25*0.03****False*T*2012
ACACIA BONOMIX FI*ACACIA BONOMIX FI*2013 T2*2013-01-01*2013-06-30*MEDIO/ALTO*0.52*0.10999999999999999**8569654.01*137.0*0.0*8749493.0*False*1.037*0.25**0.25*0.03****False*T*2013
ACACIA BONOMIX FI*ACACIA BONOMIX FI*2014*2014-01-01*2014-12-31*MEDIO/ALTO*0.235*0.085**9020275.765*145.0*0.0*10209505.0*False*1.1315*1.0**1.0*0.12****False*Y*2014
ACACIA BONOMIX FI*ACACIA BONOMIX FI*2014 T2*2014-01-01*2014-06-30*MEDIO/ALTO*0.37*0.2**9390134.52*149.0*0.0*10224965.0*False*1.1339*0.25**0.25*0.03****False*T*2014
ACACIA BONOMIX FI*ACACIA BONOMIX FI*2014 T4*2014-07-01*2014-12-31*MEDIO/ALTO*0.25*0.009999999999999995**8998790.149999999*144.0*0.0*10209505.0*False*1.1315*0.25**0.25*0.03****False*T*2014
ACACIA BONOMIX FI*ACACIA BONOMIX FI*2015 T2*2015-01-01*2015-06-30*MEDIO/ALTO*0.32*0.04**9200358.770000001*144.0*0.0*10730466.0*False*1.1807*0.25**0.25*0.03****False*T*2015
ACACIA BONOMIX FI*ACACIA BONOMIX FI*2016*2016-01-01*2016-12-31*MEDIO/ALTO*0.33999999999999997*0.03**8956385.135*150.0*0.0*9884785.0*False*1.1686*1.0**1.0*0.12****False*Y*2016
ACACIA BONOMIX FI*ACACIA BONOMIX FI*2016 T2*2016-01-01*2016-06-30*MEDIO/ALTO*0.73*0.0**9400418.33*152.0*0.0*10709758.0*False*1.1328*0.25**0.25*0.03****False*T*2016
ACACIA BONOMIX FI*ACACIA BONOMIX FI*2016 T4*2016-07-01*2016-12-31*MEDIO/ALTO*0.21999999999999997*0.0**7513348.02*146.0*0.0*9884785.0*False*1.1686*0.25**0.25*0.03****False*T*2016
ACACIA BONOMIX FI*ACACIA BONOMIX FI*2017*2017-01-01*2017-12-31*MEDIO/ALTO*0.2*0.005**8207645.51*144.5*0.0*9759110.0*False*1.1765*1.0**1.0*0.11****False*Y*2017
ACACIA BONOMIX FI*ACACIA BONOMIX FI*2017 T2*2017-01-01*2017-06-30*MEDIO/ALTO*0.4*0.0**7887662.07*142.0*0.0*9514515.0*False*1.1717*0.25**0.25*0.03****False*T*2017
ACACIA BONOMIX FI*ACACIA BONOMIX FI*2017 T4*2017-07-01*2017-12-31*MEDIO/ALTO*0.19000000000000003*0.01**8450908.27*142.0*0.0*9759110.0*False*1.1765*0.25**0.25*0.020000000000000004****False*T*2017
